Quarter,Time,Tm,Detail,DAL,SEA
2.0,9:28,Seahawks,Jaron Brown 16 yard pass from Russell Wilson (Sebastian Janikowski kick),0,7
,5:26,Cowboys,Brett Maher 50 yard field goal,3,7
,1:52,Seahawks,Tyler Lockett 52 yard pass from Russell Wilson (Sebastian Janikowski kick),3,14
,0:00,Seahawks,Sebastian Janikowski 47 yard field goal,3,17
3.0,3:43,Cowboys,Brett Maher 35 yard field goal,6,17
4.0,12:54,Seahawks,Chris Carson 5 yard rush (Sebastian Janikowski kick),6,24
,7:11,Cowboys,Tavon Austin 3 yard pass from Dak Prescott (Brett Maher kick),13,24
