Quarter,Time,Down,ToGo,Location,OAK,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Jason Myers kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,OAK 25,0,0,DeAndre Washington left guard for 6 yards (tackle by Jonathan Cyprien),0.610,0.870
1,14:24,2,4,OAK 31,0,0,DeAndre Washington left end for -2 yards (tackle by Telvin Smith),0.870,-0.100
1,13:43,3,6,OAK 29,0,0,Derek Carr pass incomplete short right intended for Michael Crabtree,-0.100,-1.440
1,13:37,4,6,OAK 29,0,0,"Marquette King punts 57 yards, returned by Rashad Greene for 8 yards (tackle by Nate Allen)",-1.440,-0.410
1,13:26,1,10,JAX 22,0,0,Blake Bortles pass incomplete short right intended for Julius Thomas (defended by Karl Joseph),0.410,-0.130
1,13:21,2,10,JAX 22,0,0,T.J. Yeldon middle for 2 yards (tackle by Perry Riley),-0.130,-0.560
1,12:40,3,8,JAX 24,0,0,Blake Bortles pass incomplete deep middle intended for Allen Robinson,-0.560,-1.770
1,12:34,4,8,JAX 24,0,0,"Brad Nortman punts 56 yards, returned by Jalen Richard for 10 yards (tackle by Denard Robinson)",-1.770,-0.940
1,12:21,1,10,OAK 30,0,0,Derek Carr pass complete short right to Mychal Rivera for 13 yards (tackle by Paul Posluszny). Penalty on Dante Fowler: Defensive Offside (Declined),0.940,1.800
1,11:52,1,10,OAK 43,0,0,Derek Carr pass incomplete short right intended for Michael Crabtree,1.800,1.250
1,11:48,2,10,OAK 43,0,0,Derek Carr pass complete short left to Seth Roberts for 3 yards (tackle by Aaron Colvin),1.250,0.960
1,11:06,3,7,OAK 46,0,0,Derek Carr pass complete short right to Michael Crabtree for 11 yards (tackle by Prince Amukamara),0.960,2.720
1,10:26,1,10,JAX 43,0,0,"Penalty on Sen'Derrick Marks: Neutral Zone Infraction, 5 yards (no play)",2.720,3.450
1,10:09,1,5,JAX 38,0,0,Derek Carr pass complete deep right to Seth Roberts for 26 yards (tackle by Jonathan Cyprien),3.450,4.780
1,9:46,1,10,JAX 12,0,0,Latavius Murray middle for 5 yards (tackle by Jonathan Cyprien),4.780,5.020
1,9:18,2,5,JAX 7,0,0,Derek Carr pass incomplete short left intended for Latavius Murray,5.020,4.160
1,9:13,3,5,JAX 7,0,0,Derek Carr pass incomplete short left intended for Clive Walford,4.160,2.980
1,9:08,4,5,JAX 7,3,0,Sebastian Janikowski 26 yard field goal good,2.980,3.000
1,9:08,,,OAK 35,3,0,"Sebastian Janikowski kicks off 63 yards, returned by Marqise Lee for 31 yards (tackle by Cory James)",0.000,-1.140
1,9:00,1,10,JAX 33,3,0,Chris Ivory middle for 1 yard (tackle by Sean Smith),1.140,0.730
1,8:20,2,9,JAX 34,3,0,"Blake Bortles pass complete short middle to Marqise Lee for 8 yards (tackle by Sean Smith). Penalty on Malcolm Smith: Defensive Holding, 5 yards (no play)",0.730,1.530
1,8:05,1,10,JAX 39,3,0,"Chris Ivory middle for 6 yards (tackle by Bruce Irvin). Chris Ivory fumbles (forced by Bruce Irvin), recovered by Chris Ivory at JAX-45",1.530,1.800
1,7:27,2,4,JAX 45,3,0,T.J. Yeldon middle for 1 yard (tackle by Stacy McGee),1.800,1.220
1,6:44,3,3,JAX 46,3,0,"Blake Bortles left end for 17 yards (tackle by D.J. Hayden). Penalty on D.J. Hayden: Defensive Holding, 5 yards",1.220,3.450
1,6:14,1,10,OAK 32,3,0,Blake Bortles pass incomplete short left intended for Julius Thomas,3.450,2.900
1,6:09,2,10,OAK 32,3,0,Blake Bortles for 11 yards,2.900,4.170
1,5:32,1,10,OAK 21,3,0,Blake Bortles pass incomplete short middle intended for Allen Hurns,4.170,3.630
1,5:25,2,10,OAK 21,3,0,Blake Bortles pass complete short left to Rashad Greene for 3 yards (tackle by Sean Smith),3.630,3.630
1,4:46,2,10,OAK 21,3,0,Timeout #1 by Jacksonville Jaguars,3.630,3.310
1,4:46,3,7,OAK 18,3,0,Blake Bortles pass incomplete deep right intended for Marqise Lee is intercepted by David Amerson at OAK--5,3.310,-0.280
1,4:40,1,10,OAK 20,3,0,Derek Carr pass complete short left to Michael Crabtree for 3 yards (tackle by Prince Amukamara),0.280,0.140
1,3:59,2,7,OAK 23,3,0,Latavius Murray middle for 3 yards (tackle by Paul Posluszny and Telvin Smith),0.140,-0.160
1,3:18,3,4,OAK 26,3,0,Derek Carr pass complete short left to Michael Crabtree for 6 yards (tackle by Prince Amukamara),-0.160,1.070
1,2:43,1,10,OAK 32,3,0,Latavius Murray middle for 5 yards (tackle by Telvin Smith),1.070,1.200
1,2:00,2,5,OAK 37,3,0,"Latavius Murray left end for 2 yards (tackle by Paul Posluszny). Penalty on Dante Fowler: Defensive Offside, 5 yards (no play)",1.200,1.730
1,1:39,1,10,OAK 42,3,0,Latavius Murray middle for 1 yard (tackle by Jonathan Cyprien),1.730,1.320
1,1:39,2,9,OAK 43,3,0,Derek Carr pass complete short right to Amari Cooper for 4 yards (tackle by Jalen Ramsey),1.320,1.160
1,0:22,3,5,OAK 47,3,0,Derek Carr pass incomplete short right intended for Michael Crabtree,1.160,-0.260
1,0:17,4,5,OAK 47,3,0,"Marquette King punts 40 yards, muffed catch by Rashad Greene, recovered by Andre Holmes and returned for no gain",-0.260,4.440
1,0:07,1,10,JAX 17,3,0,Derek Carr pass incomplete short middle intended for Latavius Murray,4.440,3.850
1,0:02,2,10,JAX 17,3,0,Jamize Olawale middle for 3 yards (tackle by Yannick Ngakoue),3.850,3.500
Quarter,Time,Down,ToGo,Location,OAK,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,JAX 14,3,0,Derek Carr pass incomplete short left intended for Seth Roberts,3.500,2.510
2,14:57,4,7,JAX 14,6,0,Sebastian Janikowski 32 yard field goal good,2.510,3.000
2,14:57,,,OAK 35,6,0,"Sebastian Janikowski kicks off 58 yards, returned by Arrelious Benn for 13 yards (tackle by Andre Holmes). Penalty on Daren Bates: Offensive Holding, 5 yards (no play)",0.000,0.000
2,14:57,,,OAK 30,6,0,"Sebastian Janikowski kicks off 70 yards, touchback",0.000,-0.610
2,14:46,1,10,JAX 25,6,0,"Blake Bortles pass incomplete deep right intended for Allen Robinson. Penalty on David Amerson: Defensive Holding (Declined), Penalty on David Amerson: Defensive Pass Interference, 25 yards (no play)",0.610,2.260
2,14:41,1,10,,6,0,Chris Ivory middle for 42 yards (tackle by Reggie Nelson),2.260,5.370
2,13:58,1,8,OAK 8,6,0,Chris Ivory middle for -2 yards (tackle by Khalil Mack),5.370,5.370
2,13:25,1,8,OAK 8,6,0,Timeout #1 by Oakland Raiders,5.370,4.190
2,13:25,2,10,OAK 10,6,0,Blake Bortles pass incomplete short right intended for Julius Thomas,4.190,3.130
2,13:21,3,10,OAK 10,6,0,Blake Bortles pass complete short right to Allen Robinson for 5 yards (tackle by David Amerson),3.130,3.010
2,12:41,4,5,OAK 5,6,3,Jason Myers 23 yard field goal good,3.010,3.000
2,12:41,,,JAX 35,6,3,"Jason Myers kicks off 65 yards, touchback",0.000,-0.610
