Unnamed: 0,OAK,JAX
First Downs,21,19
Rush-Yds-TDs,34-144-2,16-105-0
Cmp-Att-Yd-TD-INT,23-37-200-1-0,23-43-246-1-2
Sacked-Yards,0-0,1-7
Net Pass Yards,200,239
Total Yards,344,344
Fumbles-Lost,1-0,2-1
Turnovers,0,3
Penalties-Yards,11-117,13-122
Third Down Conv.,8-18,4-13
Fourth Down Conv.,1-1,0-0
Time of Possession,33:27,26:33
