Quarter,Time,Tm,Detail,SEA,ATL
1.0,11:06,Falcons,Younghoe Koo 49 yard field goal,0,3
,4:43,Seahawks,Chris Carson 3 yard pass from Russell Wilson (Jason Myers kick),7,3
,0:53,Seahawks,Chris Carson 19 yard pass from Russell Wilson (Jason Myers kick),14,3
2.0,11:25,Falcons,Todd Gurley 1 yard rush (Younghoe Koo kick failed),14,9
,0:00,Falcons,Younghoe Koo 49 yard field goal,14,12
3.0,9:41,Seahawks,D.K. Metcalf 38 yard pass from Russell Wilson (Jason Myers kick),21,12
,5:05,Seahawks,Greg Olsen 7 yard pass from Russell Wilson (Jason Myers kick),28,12
4.0,11:19,Seahawks,Jason Myers 42 yard field goal,31,12
,9:35,Falcons,Calvin Ridley 18 yard pass from Matt Ryan (pass failed),31,18
,3:45,Seahawks,Carlos Hyde 1 yard rush (Jason Myers kick),38,18
,0:33,Falcons,Calvin Ridley 7 yard pass from Matt Ryan (Younghoe Koo kick),38,25
