Unnamed: 0,SEA,ATL
First Downs,22,28
Rush-Yds-TDs,20-84-1,21-72-1
Cmp-Att-Yd-TD-INT,31-35-322-4-0,37-54-450-2-1
Sacked-Yards,3-23,2-16
Net Pass Yards,299,434
Total Yards,383,506
Fumbles-Lost,1-0,1-1
Turnovers,0,2
Penalties-Yards,6-46,6-72
Third Down Conv.,3-9,7-14
Fourth Down Conv.,1-1,0-4
Time of Possession,30:36,29:24
