Unnamed: 0,NOR,TAM
First Downs,14,25
Rush-Yds-TDs,25-66-0,20-76-0
Cmp-Att-Yd-TD-INT,21-29-250-1-0,36-54-281-2-1
Sacked-Yards,2-18,1-7
Net Pass Yards,232,274
Total Yards,298,350
Fumbles-Lost,2-0,1-1
Turnovers,0,2
Penalties-Yards,6-84,4-39
Third Down Conv.,5-14,8-15
Fourth Down Conv.,0-0,0-0
Time of Possession,29:55,30:05
