Quarter,Time,Tm,Detail,CLE,KAN
1.0,7:52,Chiefs,Jeremy Maclin 11 yard pass from Alex Smith (Cairo Santos kick),0,7
,2:19,Chiefs,Cairo Santos 40 yard field goal,0,10
2.0,8:58,Browns,Travis Coons 45 yard field goal,3,10
,0:32,Chiefs,Travis Kelce 13 yard pass from Alex Smith (Cairo Santos kick),3,17
3.0,9:15,Browns,Isaiah Crowell 10 yard rush (Travis Coons kick),10,17
4.0,8:26,Browns,Travis Coons 36 yard field goal,13,17
