Unnamed: 0,CLE,KAN
First Downs,21,16
Rush-Yds-TDs,36-232-1,27-136-0
Cmp-Att-Yd-TD-INT,13-32-136-0-1,15-22-125-2-1
Sacked-Yards,0-0,1-3
Net Pass Yards,136,122
Total Yards,368,258
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,8-83,5-33
Third Down Conv.,6-15,4-12
Fourth Down Conv.,3-4,1-1
Time of Possession,31:04,28:56
