Quarter,Time,Tm,Detail,NWE,SEA
2.0,9:47,Patriots,Brandon LaFell 11 yard pass from Tom Brady (Stephen Gostkowski kick),7,0
,2:16,Seahawks,Marshawn Lynch 3 yard rush (Stephen Hauschka kick),7,7
,0:31,Patriots,Rob Gronkowski 22 yard pass from Tom Brady (Stephen Gostkowski kick),14,7
,0:02,Seahawks,Chris Matthews 11 yard pass from Russell Wilson (Stephen Hauschka kick),14,14
3.0,11:09,Seahawks,Stephen Hauschka 27 yard field goal,14,17
,4:54,Seahawks,Doug Baldwin 3 yard pass from Russell Wilson (Stephen Hauschka kick),14,24
4.0,7:55,Patriots,Danny Amendola 4 yard pass from Tom Brady (Stephen Gostkowski kick),21,24
,2:02,Patriots,Julian Edelman 3 yard pass from Tom Brady (Stephen Gostkowski kick),28,24
