Unnamed: 0,NWE,SEA
First Downs,25,20
Rush-Yds-TDs,21-57-0,29-162-1
Cmp-Att-Yd-TD-INT,37-50-328-4-2,12-21-247-2-1
Sacked-Yards,1-8,3-13
Net Pass Yards,320,234
Total Yards,377,396
Fumbles-Lost,0-0,0-0
Turnovers,2,1
Penalties-Yards,5-36,7-70
Third Down Conv.,8-14,3-10
Fourth Down Conv.,0-0,0-0
Time of Possession,33:46,26:14
