Unnamed: 0,CHI,IND
First Downs,17,23
Rush-Yds-TDs,39-183-2,15-53-0
Cmp-Att-Yd-TD-INT,13-21-150-0-0,30-49-257-1-0
Sacked-Yards,2-14,2-17
Net Pass Yards,136,240
Total Yards,319,293
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,7-60,6-40
Third Down Conv.,10-16,5-11
Fourth Down Conv.,0-0,0-2
Time of Possession,31:44,28:16
