Quarter,Time,Down,ToGo,Location,CHI,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Robbie Gould kicks off 64 yards, returned by Courtney Roby for 24 yards (tackle by Darrell McClover)",0.000,0.940
1,14:53,1,10,IND 30,0,0,Peyton Manning pass incomplete short right intended for Gijon Robinson,0.940,0.390
1,14:48,2,10,IND 30,0,0,Joseph Addai left end for 4 yards (tackle by Dusty Dvoracek),0.390,0.230
1,14:14,3,6,IND 34,0,0,Peyton Manning pass complete short left to Anthony Gonzalez for 10 yards (tackle by Nathan Vasher),0.230,1.860
1,13:42,1,10,IND 44,0,0,Joseph Addai left end for -3 yards (tackle by Adewale Ogunleye),1.860,0.910
1,12:56,2,13,IND 41,0,0,Peyton Manning pass incomplete short right intended for Marvin Harrison (defended by Israel Idonije),0.910,0.230
1,12:51,3,13,IND 41,0,0,Peyton Manning pass incomplete deep left intended for Anthony Gonzalez,0.230,-0.650
1,12:47,4,13,IND 41,0,0,"Hunter Smith punts 51 yards, returned by Devin Hester for 25 yards (tackle by Roy Hall)",-0.650,-1.140
1,12:33,1,10,CHI 33,0,0,"Penalty on Olin Kreutz: False Start, 5 yards (no play)",1.140,0.810
1,12:33,1,15,CHI 28,0,0,Matt Forte left tackle for 1 yard (tackle by Gary Brackett and Edward Johnson),0.810,0.050
1,11:57,2,14,CHI 29,0,0,Matt Forte up the middle for 6 yards (tackle by Edward Johnson and Josh Thomas),0.050,0.170
1,11:18,3,8,CHI 35,0,0,Kyle Orton pass incomplete short middle intended for Devin Hester,0.170,-1.040
1,11:09,4,8,CHI 35,0,0,Brad Maynard punts 45 yards,-1.040,-0.280
1,10:57,1,10,IND 20,0,0,Joseph Addai up the middle for 4 yards (tackle by Adewale Ogunleye),0.280,0.270
1,10:22,2,6,IND 24,0,0,Peyton Manning pass complete short right to Marvin Harrison for 8 yards (tackle by Charles Tillman),0.270,1.070
1,9:47,1,10,IND 32,0,0,Peyton Manning pass complete deep right to Marvin Harrison for 19 yards (tackle by Kevin Payne),1.070,2.320
1,8:58,1,10,CHI 49,0,0,Joseph Addai up the middle for 2 yards (tackle by Adewale Ogunleye),2.320,2.050
1,8:16,2,8,CHI 47,0,0,"Peyton Manning pass incomplete short right intended for Dallas Clark (defended by Brandon McGowan). Penalty on Brian Urlacher: Roughing the Passer, 15 yards (no play)",2.050,3.450
1,8:10,1,10,CHI 32,0,0,Peyton Manning pass complete short left to Anthony Gonzalez for 12 yards,3.450,4.240
1,7:40,1,10,CHI 20,0,0,Peyton Manning pass incomplete short left intended for Anthony Gonzalez,4.240,3.690
1,7:34,2,10,CHI 20,0,0,Joseph Addai left end for 13 yards (tackle by Brian Urlacher),3.690,5.600
1,6:46,,,,0,0,Timeout #1 by Indianapolis Colts,0.000,5.600
1,6:46,1,7,CHI 7,0,0,Joseph Addai left tackle for -4 yards (tackle by Tommie Harris),5.600,4.020
1,6:06,2,11,CHI 11,0,0,Peyton Manning pass incomplete short left intended for Reggie Wayne (defended by Alex Brown),4.020,3.120
1,6:02,,,,0,0,Timeout #2 by Indianapolis Colts,0.000,3.120
1,6:02,3,11,CHI 11,0,0,"Penalty on Ryan Diem: False Start, 5 yards (no play)",3.120,2.850
1,6:02,3,16,CHI 16,0,0,"Penalty on Peyton Manning: Delay of Game, 5 yards (no play)",2.850,2.210
1,6:02,3,21,CHI 21,0,0,Peyton Manning pass incomplete short right intended for Anthony Gonzalez,2.210,2.060
1,5:56,4,21,CHI 21,0,3,Adam Vinatieri 39 yard field goal good,2.060,3.000
1,,,,IND 30,0,3,"Adam Vinatieri kicks off 41 yards, returned by Garrett Wolfe for 17 yards (tackle by Darrell Reid)",0.000,1.990
1,5:46,1,10,CHI 46,0,3,Matt Forte right tackle for 4 yards (tackle by Josh Thomas),1.990,1.990
1,5:11,2,6,,0,3,Kyle Orton pass incomplete short middle intended for Desmond Clark,1.990,1.290
1,5:07,3,6,,6,3,"Matt Forte up the middle for 50 yards, touchdown",1.290,7.000
1,,,,IND 2,7,3,Robbie Gould kicks extra point good,0.000,0.000
1,,,,CHI 30,7,3,"Robbie Gould kicks off 73 yards, returned by Courtney Roby for 25 yards (tackle by Jamar Williams)",0.000,0.410
,,,,,,,"CHI challenged the runner was down by contact ruling, and the play was upheld.",,
1,4:53,1,10,IND 22,7,3,Peyton Manning pass complete short middle to Dallas Clark for 8 yards (tackle by Dusty Dvoracek),0.410,0.950
1,4:17,2,2,IND 30,7,3,Joseph Addai left tackle for 2 yards (tackle by Alex Brown and Hunter Hillenmeyer),0.950,1.070
1,3:36,1,10,IND 32,7,3,Peyton Manning pass incomplete short left intended for Reggie Wayne,1.070,0.530
1,3:32,2,10,IND 32,7,3,Joseph Addai left tackle for 4 yards (tackle by Brian Urlacher),0.530,0.370
1,2:50,3,6,IND 36,7,3,Peyton Manning pass incomplete short right intended for Reggie Wayne (defended by Charles Tillman),0.370,-0.980
1,2:45,4,6,IND 36,7,3,Hunter Smith punts 47 yards,-0.980,0.060
1,2:32,1,10,CHI 17,7,3,Matt Forte left tackle for 9 yards (tackle by Freddie Keiaho and Antoine Bethea),-0.060,0.750
1,2:03,2,1,CHI 26,7,3,Jason McKie up the middle for 4 yards (tackle by Freddie Keiaho and Josh Thomas),0.750,0.940
1,1:31,1,10,CHI 30,7,3,Matt Forte left end for 2 yards (tackle by Keyunta Dawson),0.940,0.660
