Quarter,Time,Tm,Detail,CHI,IND
1.0,5:52,Colts,Adam Vinatieri 39 yard field goal,0,3
,4:59,Bears,Matt Forte 50 yard rush (Robbie Gould kick),7,3
2.0,9:38,Colts,Adam Vinatieri 34 yard field goal,7,6
,4:43,Bears,Robbie Gould 41 yard field goal,10,6
,3:59,Bears,"Safety, Joseph Addai tackled in end zone by Adewale Ogunleye.",12,6
,0:00,Bears,Robbie Gould 25 yard field goal,15,6
3.0,9:18,Colts,Reggie Wayne 6 yard pass from Peyton Manning (Adam Vinatieri kick),15,13
,1:52,Bears,Lance Briggs 21 yard defensive fumble return (Robbie Gould kick),22,13
4.0,8:56,Bears,Jason McKie 1 yard rush (Robbie Gould kick),29,13
