Unnamed: 0,STL,CAR
First Downs,11,18
Rush-Yds-TDs,21-66-0,38-119-1
Cmp-Att-Yd-TD-INT,16-29-246-1-6,16-30-206-1-1
Sacked-Yards,3-20,2-17
Net Pass Yards,226,189
Total Yards,292,308
Fumbles-Lost,2-1,3-1
Turnovers,7,2
Penalties-Yards,5-44,7-55
Third Down Conv.,6-13,9-17
Fourth Down Conv.,0-1,0-1
Time of Possession,24:24,35:36
