Quarter,Time,Tm,Detail,STL,CAR
1.0,7:13,Panthers,Muhsin Muhammad 14 yard pass from Jake Delhomme (John Kasay kick),0,7
,1:04,Panthers,Nick Goings 1 yard rush (John Kasay kick),0,14
,0:06,Rams,Torry Holt 75 yard pass from Chris Chandler (Jeff Wilkins kick),7,14
2.0,6:12,Panthers,John Kasay 27 yard field goal,7,17
,0:39,Panthers,John Kasay 20 yard field goal,7,20
