Quarter,Time,Tm,Detail,STL,TAM
1.0,8:56,Buccaneers,Josh McCown 5 yard rush (Patrick Murray kick),0,7
,3:07,Rams,Zac Stacy 2 yard rush (Greg Zuerlein kick),7,7
2.0,0:39,Rams,Greg Zuerlein 36 yard field goal,10,7
3.0,9:18,Buccaneers,Josh McCown 1 yard rush (Patrick Murray kick),10,14
,2:41,Rams,Greg Zuerlein 35 yard field goal,13,14
4.0,9:10,Rams,Greg Zuerlein 46 yard field goal,16,14
,5:15,Buccaneers,Patrick Murray 36 yard field goal,16,17
,0:38,Rams,Greg Zuerlein 38 yard field goal,19,17
