Quarter,Time,Down,ToGo,Location,STL,TAM,Detail,EPB,EPA
3,12:31,1,10,TAM 40,10,7,Josh McCown pass complete short left to Vincent Jackson for 6 yards (tackle by Janoris Jenkins),1.600,1.860
3,12:01,2,4,TAM 46,10,7,Josh McCown pass complete short right to Vincent Jackson for 18 yards (tackle by E.J. Gaines),1.860,3.180
3,11:29,1,10,STL 36,10,7,Bobby Rainey left guard for 1 yard (tackle by William Hayes),3.180,2.770
3,10:51,2,9,STL 35,10,7,Josh McCown pass complete short right to Vincent Jackson for 20 yards (tackle by E.J. Gaines),2.770,4.580
3,10:18,1,10,STL 15,10,7,Bobby Rainey left guard for 4 yards (tackle by Janoris Jenkins),4.580,4.640
3,9:43,2,6,STL 11,10,7,Bobby Rainey right guard for 10 yards (tackle by Rodney McLeod),4.640,6.970
3,9:22,1,1,STL 1,10,13,"Josh McCown left end for 1 yard, touchdown. Penalty on Robert Quinn: Defensive Offside (Declined)",6.970,7.000
3,9:22,,,STL 2,10,14,Patrick Murray kicks extra point good,0.000,0.000
3,9:22,,,TAM 35,10,14,"Michael Koenen kicks off 64 yards, returned by Chris Givens for 14 yards (tackle by Danny Lansanah)",0.000,0.220
3,9:12,1,10,STL 15,10,14,Austin Davis sacked by Clinton McDonald for -10 yards,-0.220,-1.510
3,8:31,2,20,STL 5,10,14,"Penalty on Akeem Spence: Neutral Zone Infraction, 5 yards (no play)",-1.510,-1.150
3,8:19,2,15,STL 10,10,14,Austin Davis pass complete deep left to Jared Cook for 22 yards (tackle by Dashon Goldson). Penalty on Dashon Goldson: Illegal Contact (Declined),-1.150,1.070
3,7:55,1,10,STL 32,10,14,Austin Davis pass complete short right to Brian Quick for 4 yards (tackle by Alterraun Verner),1.070,1.070
3,7:18,2,6,STL 36,10,14,Zac Stacy left end for 12 yards (tackle by Dashon Goldson),1.070,2.130
3,6:44,1,10,STL 48,10,14,Zac Stacy left guard for 6 yards (tackle by Mark Barron and Dashon Goldson),2.130,2.390
3,6:03,2,4,TAM 46,10,14,Benny Cunningham up the middle for 1 yard (tackle by Lavonte David),2.390,1.820
3,5:22,3,3,TAM 45,10,14,Austin Davis pass complete short left to Austin Pettis for 6 yards (tackle by Johnthan Banks),1.820,2.980
3,4:52,1,10,TAM 39,10,14,Austin Davis pass incomplete deep right intended for Chris Givens,2.980,2.440
3,4:45,2,10,TAM 39,10,14,Austin Davis pass incomplete short left intended for Benny Cunningham,2.440,1.750
3,4:39,3,10,TAM 39,10,14,Austin Davis pass complete deep right to Kenny Britt for 17 yards (tackle by Alterraun Verner),1.750,4.110
3,4:02,1,10,TAM 22,10,14,Zac Stacy up the middle for 3 yards (tackle by Dane Fletcher),4.110,3.970
3,3:28,2,7,TAM 19,10,14,Austin Davis pass complete short left to Cory Harkey for 2 yards (tackle by Dashon Goldson),3.970,3.560
3,2:52,3,5,TAM 17,10,14,Austin Davis pass incomplete short middle intended for Austin Pettis,3.560,2.360
3,2:46,4,5,TAM 17,13,14,Greg Zuerlein 35 yard field goal good,2.360,3.000
3,2:46,,,STL 35,13,14,"Greg Zuerlein kicks off 55 yards, returned by Chris Owusu for 45 yards (tackle by Greg Zuerlein). Penalty on Greg Zuerlein: Face Mask (15 Yards), 15 yards",0.000,-3.580
3,2:32,1,10,STL 30,13,14,Josh McCown pass incomplete short left intended for Robert Herron,3.580,3.030
3,2:27,2,10,STL 30,13,14,Bobby Rainey left guard for 18 yards (tackle by Rodney McLeod and Brandon McGee),3.030,4.780
3,1:50,1,10,STL 12,13,14,Bobby Rainey left tackle for -3 yards (tackle by Aaron Donald),4.780,3.660
3,1:11,2,13,STL 15,13,14,Bobby Rainey left guard for 6 yards (tackle by T.J. McDonald),3.660,3.700
3,0:27,3,7,STL 9,13,14,Bobby Rainey left guard for 3 yards (tackle by Alec Ogletree and James Laurinaitis),3.700,3.000
Quarter,Time,Down,ToGo,Location,STL,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,4,STL 6,13,14,"Patrick Murray 24 yard field goal no good, blocked by T.J. McDonald, recovered by Ray-Ray Armstrong and returned for 20 yards",3.000,-0.540
4,14:50,1,10,STL 24,13,14,Zac Stacy right guard for 3 yards (tackle by William Gholston and Da'Quan Bowers),0.540,0.400
4,14:17,2,7,STL 27,13,14,Austin Davis pass complete short left to Brian Quick for 8 yards (tackle by Danny Lansanah),0.400,1.270
4,13:35,1,10,STL 35,13,14,"Austin Davis pass incomplete deep right intended for Lance Kendricks. Penalty on Alterraun Verner: Defensive Holding (Offsetting), Penalty on Davin Joseph: Offensive Holding (Offsetting) (no play)",1.270,1.270
4,13:06,1,10,STL 35,13,14,Kenny Britt right end for 12 yards (tackle by Alterraun Verner and Mark Barron),1.270,2.060
4,12:28,1,10,STL 47,13,14,Austin Davis pass complete short right to Cory Harkey for 6 yards (tackle by Danny Lansanah),2.060,2.330
4,11:54,2,4,TAM 47,13,14,Austin Davis pass complete short right to Brian Quick for 12 yards (tackle by Alterraun Verner),2.330,3.250
4,11:20,1,10,TAM 35,13,14,Benny Cunningham up the middle for 4 yards (tackle by Major Wright),3.250,3.240
4,10:42,2,6,TAM 31,13,14,Austin Davis sacked by William Gholston for -5 yards,3.240,1.880
4,9:58,3,11,TAM 36,13,14,Austin Davis pass complete short left to Jared Cook for 9 yards (tackle by Mark Barron),1.880,1.800
4,9:17,4,2,TAM 27,16,14,Greg Zuerlein 46 yard field goal good,1.800,3.000
4,9:17,,,STL 35,16,14,"Greg Zuerlein kicks off 71 yards, returned by Solomon Patton for 24 yards (tackle by Ray-Ray Armstrong)",0.000,-0.040
4,9:07,1,10,TAM 18,16,14,Josh McCown pass complete short left to Robert Herron for 5 yards (tackle by E.J. Gaines),0.040,0.280
4,8:27,2,5,TAM 23,16,14,Josh McCown pass incomplete deep middle intended for Vincent Jackson,0.280,-0.530
4,8:20,3,5,TAM 23,16,14,"Josh McCown pass incomplete deep middle intended for Robert Herron. Penalty on Jo-Lonn Dunbar: Roughing the Passer, 15 yards (no play)",-0.530,1.470
4,8:13,1,10,TAM 38,16,14,Bobby Rainey left guard for 7 yards (tackle by James Laurinaitis),1.470,1.870
4,7:44,2,3,TAM 45,16,14,Bobby Rainey left tackle for 31 yards (tackle by Brandon McGee),1.870,3.970
4,7:15,1,10,STL 24,16,14,Mike James right end for 8 yards (tackle by William Hayes),3.970,4.650
4,6:43,2,2,STL 16,16,14,Mike James left end for no gain (tackle by Eugene Sims),4.650,3.950
4,6:03,3,2,STL 16,16,14,Mike James left tackle for -2 yards (tackle by Aaron Donald),3.950,2.320
4,5:20,4,4,STL 18,16,17,Patrick Murray 36 yard field goal good,2.320,3.000
4,5:20,,,TAM 35,16,17,"Michael Koenen kicks off 64 yards, returned by Chris Givens for 8 yards (tackle by Russell Shepard)",0.000,0.380
4,5:08,1,10,STL 9,16,17,Austin Davis pass complete short middle to Jared Cook for 9 yards (tackle by Dashon Goldson),-0.380,0.140
4,4:29,2,1,STL 18,16,17,Austin Davis pass incomplete deep middle intended for Brian Quick,0.140,-0.370
4,4:20,3,1,STL 18,16,17,Austin Davis pass complete short left to Lance Kendricks for 13 yards (tackle by Mark Barron),-0.370,1.000
4,3:43,1,10,STL 31,16,17,Zac Stacy right tackle for 1 yard (tackle by Clinton McDonald and Lavonte David),1.000,0.600
4,3:03,2,9,STL 32,16,17,Austin Davis pass complete short middle to Brian Quick for 15 yards (tackle by Crezdon Butler),0.600,2.060
4,2:26,1,10,STL 47,16,17,Zac Stacy up the middle for 1 yard (tackle by Lavonte David and Clinton McDonald),2.060,1.650
4,2:00,2,9,STL 48,16,17,Austin Davis pass incomplete short right intended for Lance Kendricks,1.650,0.960
4,1:55,3,9,STL 48,16,17,Austin Davis pass complete deep right to Austin Pettis for 27 yards (tackle by Dashon Goldson),0.960,0.960
4,1:37,3,9,STL 48,16,17,Timeout #1 by Tampa Bay Buccaneers,0.960,3.910
4,1:37,1,10,TAM 25,16,17,Benny Cunningham up the middle for 2 yards (tackle by William Gholston),3.910,3.910
4,1:33,1,10,TAM 25,16,17,Timeout #2 by Tampa Bay Buccaneers,3.910,3.630
4,1:33,2,8,TAM 23,16,17,Zac Stacy right guard for no gain (tackle by Clinton McDonald),3.630,3.630
4,1:28,2,8,TAM 23,16,17,Timeout #3 by Tampa Bay Buccaneers,3.630,2.940
4,1:28,3,8,TAM 23,16,17,Zac Stacy right guard for 3 yards (tackle by Akeem Spence),2.940,2.940
4,0:42,3,8,TAM 23,16,17,Timeout #1 by St. Louis Rams,2.940,2.170
4,0:42,4,5,TAM 20,19,17,Greg Zuerlein 38 yard field goal good,2.170,3.000
4,0:42,,,STL 35,19,17,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
4,0:38,1,10,TAM 20,19,17,Josh McCown pass complete short right to Bobby Rainey for 19 yards (tackle by Brandon McGee),0.280,1.530
4,0:20,1,10,TAM 39,19,17,Josh McCown spiked the ball,1.530,0.990
4,0:20,2,10,TAM 39,19,17,Josh McCown pass complete deep right to Mike Evans for 29 yards (tackle by T.J. McDonald),0.990,3.450
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
