Unnamed: 0,STL,TAM
First Downs,20,18
Rush-Yds-TDs,29-119-1,30-157-2
Cmp-Att-Yd-TD-INT,22-29-235-0-0,16-21-179-0-1
Sacked-Yards,2-15,1-4
Net Pass Yards,220,175
Total Yards,339,332
Fumbles-Lost,2-1,1-0
Turnovers,1,1
Penalties-Yards,5-65,4-30
Third Down Conv.,5-11,4-8
Fourth Down Conv.,0-0,0-0
Time of Possession,32:05,27:55
