Unnamed: 0,ARI,MIN
First Downs,16,20
Rush-Yds-TDs,20-60-1,32-195-2
Cmp-Att-Yd-TD-INT,21-31-240-0-1,24-34-233-1-1
Sacked-Yards,4-32,4-17
Net Pass Yards,208,216
Total Yards,268,411
Fumbles-Lost,1-1,1-1
Turnovers,2,2
Penalties-Yards,5-30,9-52
Third Down Conv.,0-10,5-14
Fourth Down Conv.,0-2,0-1
Time of Possession,25:38,34:22
