Quarter,Time,Tm,Detail,ARI,MIN
1.0,8:18,Cardinals,Phil Dawson 26 yard field goal,3,0
,5:33,Vikings,Latavius Murray 21 yard rush (Dan Bailey kick),3,7
,2:03,Vikings,Dan Bailey 37 yard field goal,3,10
2.0,4:13,Cardinals,Budda Baker 36 yard fumble return (Phil Dawson kick),10,10
,0:07,Vikings,Dan Bailey 48 yard field goal,10,13
3.0,10:06,Vikings,Adam Thielen 13 yard pass from Kirk Cousins (Dan Bailey kick),10,20
,6:37,Vikings,Kirk Cousins 7 yard rush (Dan Bailey kick),10,27
4.0,6:57,Cardinals,David Johnson 1 yard rush (Phil Dawson kick),17,27
