Quarter,Time,Tm,Detail,BAL,GNB
1.0,8:39,Packers,Mason Crosby 28 yard field goal,0,3
2.0,4:35,Packers,Jermichael Finley 2 yard pass from Aaron Rodgers (Mason Crosby kick),0,10
,0:32,Packers,Donald Driver 8 yard pass from Aaron Rodgers (Mason Crosby kick),0,17
3.0,3:28,Ravens,Kelley Washington 12 yard pass from Joe Flacco (Billy Cundiff kick),7,17
,2:58,Ravens,Willis McGahee 1 yard rush (Billy Cundiff kick),14,17
4.0,10:31,Packers,Jermichael Finley 19 yard pass from Aaron Rodgers (Mason Crosby kick),14,24
,1:56,Packers,Mason Crosby 32 yard field goal,14,27
