Unnamed: 0,BAL,GNB
First Downs,17,25
Rush-Yds-TDs,21-66-1,27-94-0
Cmp-Att-Yd-TD-INT,15-36-137-1-3,26-40-263-3-2
Sacked-Yards,3-18,1-7
Net Pass Yards,119,256
Total Yards,185,350
Fumbles-Lost,2-1,2-1
Turnovers,4,3
Penalties-Yards,12-135,11-175
Third Down Conv.,6-13,6-13
Fourth Down Conv.,0-1,0-0
Time of Possession,24:38,35:22
