#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,GNB 43,12,6:21,47,Field Goal
2,1,4:18,GNB 19,2,0:39,16,Interception
3,1,1:52,GNB 48,3,1:49,3,Punt
4,2,14:04,GNB 32,6,2:17,24,Punt
5,2,9:48,GNB 17,8,5:13,83,Touchdown
6,2,2:44,GNB 32,8,2:12,68,Touchdown
7,3,12:11,GNB 20,6,4:04,48,Fumble
8,3,3:28,GNB 37,1,0:14,0,Interception
9,3,2:58,GNB 40,9,3:08,40,Missed FG
10,4,12:50,BAL 49,4,2:19,49,Touchdown
11,4,8:46,GNB 20,3,1:46,7,Punt
12,4,6:48,,8,4:52,36,Field Goal
13,4,0:28,GNB 47,1,0:28,-1,End of Game
