Unnamed: 0,OAK,JAX
First Downs,21,19
Rush-Yds-TDs,25-153-2,34-234-2
Cmp-Att-Yd-TD-INT,22-33-344-2-1,11-22-159-3-1
Sacked-Yards,3-21,2-8
Net Pass Yards,323,151
Total Yards,476,385
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,4-25,6-52
Third Down Conv.,6-13,5-12
Fourth Down Conv.,0-1,0-0
Time of Possession,30:05,29:55
