Quarter,Time,Tm,Detail,OAK,JAX
1.0,10:28,Raiders,Darren McFadden 67 yard pass from Jason Campbell (Sebastian Janikowski kick),7,0
2.0,11:56,Jaguars,Marcedes Lewis 1 yard pass from David Garrard (Josh Scobee kick),7,7
,6:25,Raiders,Sebastian Janikowski 26 yard field goal,10,7
,0:19,Raiders,Louis Murphy 8 yard pass from Jason Campbell (Sebastian Janikowski kick),17,7
3.0,12:47,Jaguars,Jason Hill 48 yard pass from David Garrard (Josh Scobee kick),17,14
,11:21,Raiders,Darren McFadden 51 yard rush (Sebastian Janikowski kick),24,14
,6:44,Jaguars,Rashad Jennings 74 yard rush (Josh Scobee kick),24,21
,3:44,Jaguars,Mike Sims-Walker 10 yard pass from David Garrard (Josh Scobee kick),24,28
4.0,11:22,Jaguars,Josh Scobee 19 yard field goal,24,31
,1:53,Raiders,Darren McFadden 36 yard rush (Sebastian Janikowski kick),31,31
,1:34,Jaguars,Maurice Jones-Drew 30 yard rush (Josh Scobee kick),31,38
