Quarter,Time,Down,ToGo,Location,TEN,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 54 yards, returned by Kalif Raymond for 19 yards (tackle by Armani Watts)",0.000,0.940
1,14:55,1,10,TEN 30,0,0,Derrick Henry left guard for 4 yards (tackle by Frank Clark and Derrick Nnadi),0.940,0.930
1,14:18,2,6,TEN 34,0,0,Ryan Tannehill pass complete short middle to A.J. Brown for 37 yards (tackle by Tyrann Mathieu),0.930,3.640
1,13:29,1,10,KAN 29,0,0,Derrick Henry left tackle for 1 yard (tackle by Anthony Hitchens),3.640,3.240
1,12:51,2,9,KAN 28,0,0,Ryan Tannehill pass complete short right to Corey Davis for 12 yards (tackle by Damien Wilson),3.240,4.510
1,12:25,1,10,KAN 16,0,0,Derrick Henry up the middle for 4 yards (tackle by Mike Pennel and Frank Clark),4.510,4.570
1,11:44,2,6,KAN 12,0,0,Ryan Tannehill pass incomplete short left intended for Corey Davis,4.570,3.730
1,11:39,3,6,KAN 12,0,0,Ryan Tannehill pass incomplete short right intended for Tajae Sharpe,3.730,2.660
1,11:33,4,6,KAN 12,3,0,Greg Joseph 30 yard field goal good,2.660,3.000
1,11:29,,,TEN 35,3,0,"Greg Joseph kicks off 62 yards, returned by Mecole Hardman for 18 yards (tackle by LeShaun Sims)",0.000,0.340
1,11:22,1,10,KAN 21,3,0,Patrick Mahomes right end for 2 yards (tackle by Kamalei Correa),0.340,0.070
1,10:56,2,8,KAN 23,3,0,Patrick Mahomes sacked by Kamalei Correa for -2 yards,0.070,-0.890
1,10:14,3,10,KAN 21,3,0,Patrick Mahomes pass incomplete short right intended for Travis Kelce,-0.890,-1.960
1,10:09,4,10,KAN 21,3,0,"Dustin Colquitt punts 46 yards, returned by Kalif Raymond for 9 yards (tackle by James Winchester)",-1.960,-1.730
1,9:59,1,10,TEN 42,3,0,Derrick Henry left guard for 11 yards (tackle by Reggie Ragland),1.730,2.460
1,9:21,1,10,KAN 47,3,0,Derrick Henry right end for 5 yards (tackle by Damien Wilson),2.460,2.590
1,8:40,2,5,KAN 42,3,0,Ryan Tannehill pass incomplete deep left intended for Corey Davis (defended by Bashaud Breeland),2.590,1.880
1,8:35,3,5,KAN 42,3,0,"Penalty on Chris Jones: Neutral Zone Infraction, 5 yards (no play)",1.880,3.120
1,8:35,1,10,KAN 37,3,0,"Penalty on Xavier Williams: Encroachment, 5 yards (no play)",3.120,3.850
1,8:35,1,5,KAN 32,3,0,Derrick Henry right tackle for 2 yards (tackle by Xavier Williams),3.850,3.520
1,8:01,2,3,KAN 30,3,0,Derrick Henry right tackle for 1 yard (tackle by Damien Wilson),3.520,2.940
1,7:18,3,2,KAN 29,3,0,Ryan Tannehill pass incomplete short left intended for Jonnu Smith (defended by Terrell Suggs),2.940,1.600
1,7:13,4,2,KAN 29,3,0,Ryan Tannehill pass complete short left to Adam Humphries for 3 yards (tackle by Anthony Hitchens and Tyrann Mathieu),1.600,3.840
1,6:35,1,10,KAN 26,3,0,Ryan Tannehill pass complete short right to Jonnu Smith for 22 yards (tackle by Bashaud Breeland),3.840,6.280
1,5:56,1,4,KAN 4,9,0,"Derrick Henry left tackle for 4 yards, touchdown",6.280,7.000
1,5:52,,,KAN 15,10,0,Greg Joseph kicks extra point good,0.000,0.000
1,5:52,,,TEN 35,10,0,"Greg Joseph kicks off 58 yards, returned by Mecole Hardman for 19 yards (tackle by Derick Roberson)",0.000,0.670
1,5:46,1,10,KAN 26,10,0,Patrick Mahomes pass complete short right to Damien Williams for 9 yards (tackle by Jayon Brown),0.670,1.350
