Unnamed: 0,TEN,KAN
First Downs,20,27
Rush-Yds-TDs,23-85-1,27-112-2
Cmp-Att-Yd-TD-INT,22-32-237-2-0,23-35-294-3-0
Sacked-Yards,3-27,2-2
Net Pass Yards,210,292
Total Yards,295,404
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,8-85,9-61
Third Down Conv.,3-10,6-10
Fourth Down Conv.,2-3,1-1
Time of Possession,30:10,29:50
