Quarter,Time,Tm,Detail,TEN,KAN
1.0,11:29,Titans,Greg Joseph 30 yard field goal,3,0
,5:52,Titans,Derrick Henry 4 yard rush (Greg Joseph kick),10,0
,0:46,Chiefs,Tyreek Hill 8 yard pass from Patrick Mahomes (Harrison Butker kick),10,7
2.0,6:39,Titans,Dennis Kelly 1 yard pass from Ryan Tannehill (Greg Joseph kick),17,7
,4:03,Chiefs,Tyreek Hill 20 yard pass from Patrick Mahomes (Harrison Butker kick),17,14
,0:11,Chiefs,Patrick Mahomes 27 yard rush (Harrison Butker kick),17,21
4.0,14:50,Chiefs,Damien Williams 3 yard rush (Harrison Butker kick),17,28
,7:33,Chiefs,Sammy Watkins 60 yard pass from Patrick Mahomes (Harrison Butker kick),17,35
,4:18,Titans,Anthony Firkser 22 yard pass from Ryan Tannehill (Greg Joseph kick),24,35
