Quarter,Time,Tm,Detail,CLE,MIN
1.0,7:58,Vikings,Paul Edinger 43 yard field goal,0,3
2.0,4:22,Vikings,Marcus Robinson 15 yard pass from Brad Johnson (Paul Edinger kick),0,10
,0:04,Browns,Phil Dawson 32 yard field goal,3,10
3.0,7:24,Vikings,Marcus Robinson 15 yard pass from Brad Johnson (Paul Edinger kick),3,17
,3:27,Browns,Phil Dawson 38 yard field goal,6,17
4.0,8:47,Vikings,Marcus Robinson 2 yard pass from Brad Johnson (Paul Edinger kick),6,24
,1:06,Browns,Dennis Northcutt 9 yard pass from Trent Dilfer,12,24
