Unnamed: 0,CLE,MIN
First Downs,20,18
Rush-Yds-TDs,20-78-0,31-81-0
Cmp-Att-Yd-TD-INT,23-36-214-1-3,19-28-207-3-1
Sacked-Yards,5-30,2-7
Net Pass Yards,184,200
Total Yards,262,281
Fumbles-Lost,2-2,2-1
Turnovers,5,2
Penalties-Yards,6-30,7-49
Third Down Conv.,2-8,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,27:44,32:16
