Unnamed: 0,LAC,LVR
First Downs,22,21
Rush-Yds-TDs,22-72-0,29-154-1
Cmp-Att-Yd-TD-INT,28-47-335-1-0,16-30-250-2-1
Sacked-Yards,5-21,0-0
Net Pass Yards,314,250
Total Yards,386,404
Fumbles-Lost,3-1,1-1
Turnovers,1,2
Penalties-Yards,4-20,3-15
Third Down Conv.,5-16,3-10
Fourth Down Conv.,3-5,0-0
Time of Possession,30:44,29:16
