Quarter,Time,Down,ToGo,Location,LAC,LVR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LVR 25,0,0,Josh Jacobs left guard for 1 yard (tackle by Bryce Callahan and Sebastian Joseph-Day),0.610,0.200
1,14:21,2,9,LVR 26,0,0,Derek Carr pass complete short middle to Mack Hollins for 5 yards (tackle by Kenneth Murray),0.200,0.170
1,13:36,3,4,LVR 31,0,0,Derek Carr pass incomplete short right,0.170,-1.310
1,13:29,4,4,LVR 31,0,0,"AJ Cole punts 60 yards, returned by DeAndre Carter for 23 yards (tackle by Trent Sieg)",-1.310,-1.070
1,13:17,1,10,LAC 32,0,0,"Justin Herbert for 2 yards. Justin Herbert fumbles (forced by Maxx Crosby), recovered by Justin Herbert at LAC-24",1.070,0.800
1,12:35,2,8,LAC 34,0,0,Austin Ekeler right tackle for 5 yards (tackle by Jayon Brown),0.800,0.760
1,11:56,3,3,LAC 39,0,0,Justin Herbert sacked by Chandler Jones for no gain,0.760,-0.780
1,11:20,4,3,LAC 39,0,0,Joshua Kelley up the middle for 5 yards (tackle by Isaiah Pola-Mao),-0.780,1.860
1,10:36,1,10,LAC 44,0,0,Justin Herbert pass incomplete short right,1.860,1.320
1,10:31,2,10,LAC 44,0,0,Justin Herbert pass complete short right to Josh Palmer for 5 yards (tackle by Nate Hobbs),1.320,1.290
1,9:55,3,5,LAC 49,0,0,Justin Herbert pass incomplete short right intended for Joshua Kelley,1.290,-0.130
1,9:50,4,5,LAC 49,0,0,JK Scott punts 45 yards out of bounds,-0.130,0.380
1,9:41,1,10,LVR 6,0,0,Josh Jacobs up the middle for 4 yards (tackle by Nasir Adderley and Sebastian Joseph-Day),-0.380,-0.490
1,9:03,2,6,LVR 10,0,0,Josh Jacobs up the middle for 9 yards (tackle by Derwin James),-0.490,0.150
1,8:23,1,10,LVR 19,0,0,"Derek Carr pass complete short middle to Josh Jacobs for no gain. Penalty on Asante Samuel: Defensive Holding, 5 yards (accepted) (no play)",0.150,0.540
1,7:50,1,10,LVR 24,0,0,"Derek Carr pass complete short left to Josh Jacobs for 1 yard. Josh Jacobs fumbles (forced by Kenneth Murray), recovered by Kyle Van Noy at LV-25",0.540,-3.910
1,7:39,1,10,LVR 25,0,0,Austin Ekeler up the middle for 5 yards (tackle by Jayon Brown),3.910,4.040
1,7:04,2,5,LVR 20,0,0,Justin Herbert scrambles right guard for 3 yards (tackle by Jayon Brown),4.040,3.850
1,6:23,3,2,LVR 17,0,0,Justin Herbert pass incomplete deep middle intended for Austin Ekeler,3.850,2.440
1,6:16,4,2,LVR 17,0,0,Justin Herbert scrambles up the middle for 1 yard (tackle by Chandler Jones),2.440,0.140
1,6:11,1,10,LVR 16,0,0,Derek Carr pass incomplete deep right intended for Foster Moreau (defended by Nasir Adderley),-0.140,-0.660
1,6:03,2,10,LVR 16,0,0,Derek Carr pass complete short right to Josh Jacobs for 5 yards (tackle by Asante Samuel),-0.660,-0.700
1,5:15,3,5,LVR 21,6,0,"Derek Carr pass short left (defended by Asante Samuel) intended for Mack Hollins is intercepted by Bryce Callahan at LV-26 and returned for 26 yards, touchdown",-0.700,-7.000
1,5:07,,,LVR 15,7,0,Cameron Dicker kicks extra point good,0.000,0.000
1,5:07,,,LAC 35,7,0,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
1,5:07,1,10,LVR 25,7,0,"Josh Jacobs left guard for 8 yards (tackle by Drue Tranquill). Penalty on Breiden Fehoko: Defensive Holding, 5 yards (accepted)",0.610,1.470
1,4:59,1,10,LVR 38,7,0,Josh Jacobs right guard for no gain (tackle by Bryce Callahan),1.470,0.920
1,4:08,2,10,LVR 38,7,0,Josh Jacobs right guard for 4 yards (tackle by Drue Tranquill),0.920,0.760
1,3:29,3,6,LVR 42,7,0,Derek Carr pass incomplete deep right intended for Ameer Abdullah,0.760,-0.590
1,3:22,4,6,LVR 42,7,0,"AJ Cole punts 58 yards, touchback.",-0.590,-0.280
1,3:12,1,10,LAC 20,7,0,Justin Herbert pass complete short left to Gerald Everett for 14 yards (tackle by Duron Harmon),0.280,1.200
1,2:36,1,10,LAC 34,7,0,Justin Herbert pass incomplete short left intended for Josh Palmer (defended by Amik Robertson),1.200,0.660
1,2:29,2,10,LAC 34,7,0,Joshua Kelley right tackle for 7 yards (tackle by Roderic Teamer and Denzel Perryman),0.660,0.890
1,1:51,3,3,LAC 41,7,0,Justin Herbert pass complete short right to Josh Palmer for 11 yards (tackle by Nate Hobbs),0.890,2.390
1,1:17,1,10,LVR 48,7,0,"Justin Herbert aborted snap, recovered by Justin Herbert at LV-48 Justin Herbert pass complete short right to Tre' McKitty for 8 yards (tackle by Nate Hobbs)",2.390,2.930
1,0:37,2,2,LVR 40,7,0,Joshua Kelley up the middle for 3 yards (tackle by Jayon Brown and Denzel Perryman),2.930,3.120
Quarter,Time,Down,ToGo,Location,LAC,LVR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LVR 37,7,0,Justin Herbert pass complete short right to Josh Palmer for 7 yards (tackle by Roderic Teamer),3.120,3.520
2,14:23,2,3,LVR 30,7,0,Joshua Kelley right guard for 2 yards (tackle by Jayon Brown and Roderic Teamer),3.520,3.070
2,13:46,3,1,LVR 28,7,0,Austin Ekeler left guard for 8 yards (tackle by Sam Webb and Duron Harmon),3.070,4.240
2,13:13,1,10,LVR 20,7,0,Justin Herbert pass incomplete deep right intended for Gerald Everett (defended by Trevon Moehrig),4.240,3.690
2,13:03,2,10,LVR 20,7,0,Austin Ekeler right tackle for 5 yards (tackle by Nate Hobbs and Trevon Moehrig),3.690,3.700
2,12:22,3,5,LVR 15,7,0,Justin Herbert sacked by Chandler Jones for -4 yards,3.700,2.180
2,11:41,4,9,LVR 19,10,0,Cameron Dicker 37 yard field goal good,2.180,3.000
2,11:37,,,LAC 35,10,0,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
2,11:37,1,10,LVR 25,10,0,Derek Carr pass complete short left to Davante Adams for 12 yards (tackle by Asante Samuel),0.610,1.400
2,11:02,1,10,LVR 37,10,0,Derek Carr pass incomplete short left intended for Mack Hollins,1.400,0.860
2,10:57,2,10,LVR 37,10,0,Derek Carr pass complete deep middle to Davante Adams for 19 yards (tackle by Michael Davis),0.860,2.650
2,10:16,1,10,LAC 44,10,0,Josh Jacobs up the middle for 1 yard (tackle by Khalil Mack and Morgan Fox),2.650,2.250
2,9:40,2,9,LAC 43,10,0,Derek Carr pass incomplete short right,2.250,1.550
2,9:29,3,9,LAC 43,10,0,Derek Carr pass complete short left to Mack Hollins for 14 yards (tackle by Bryce Callahan),1.550,3.640
2,8:47,1,10,LAC 29,10,0,Josh Jacobs left end for 9 yards (tackle by Chris Rumph),3.640,4.320
2,7:57,2,1,LAC 20,10,6,"Josh Jacobs up the middle for 20 yards, touchdown",4.320,7.000
2,7:52,,,LAC 15,10,7,Daniel Carlson kicks extra point good,0.000,0.000
2,7:52,,,LVR 35,10,7,"Daniel Carlson kicks off 64 yards, returned by DeAndre Carter for 21 yards (tackle by Malcolm Koonce)",0.000,0.410
2,7:47,1,10,LAC 22,10,7,Joshua Kelley right guard for 5 yards (tackle by Bilal Nichols and Denzel Perryman),0.410,0.540
2,7:11,2,5,LAC 27,10,7,Justin Herbert sacked by Isaiah Pola-Mao for -9 yards,0.540,-1.490
2,6:29,3,14,LAC 18,10,7,Justin Herbert pass complete short middle to Gerald Everett for 13 yards (tackle by Amik Robertson),-1.490,-1.310
