Quarter,Time,Tm,Detail,LAC,LVR
1.0,5:07,Chargers,Bryce Callahan 26 yard interception return (Cameron Dicker kick),7,0
2.0,11:37,Chargers,Cameron Dicker 37 yard field goal,10,0
,7:52,Raiders,Josh Jacobs 20 yard rush (Daniel Carlson kick),10,7
,2:17,Raiders,Daniel Carlson 55 yard field goal,10,10
,0:27,Chargers,Cameron Dicker 34 yard field goal,13,10
3.0,14:28,Raiders,Davante Adams 31 yard pass from Derek Carr (Daniel Carlson kick),13,17
,10:53,Raiders,Davante Adams 45 yard pass from Derek Carr (Daniel Carlson kick),13,24
4.0,14:49,Raiders,Daniel Carlson 25 yard field goal,13,27
,8:34,Chargers,Keenan Allen 35 yard pass from Justin Herbert (Cameron Dicker kick),20,27
