0,1
Game Info,Game Info
Won Toss,Ravens (deferred)
Roof,outdoors
Surface,fieldturf
Duration,3:07
Attendance,64071
Weather,"78 degrees, relative humidity 52%, wind 1 mph, wind chill 0"
Vegas Line,Baltimore Ravens -3.0
Over/Under,39.5 (under)
