Quarter,Time,Down,ToGo,Location,ARI,CIN,Detail,EPB,EPA
1,8:17,2,5,ARI 23,0,3,Andy Dalton for 6 yards (tackle by Nick Eason),3.840,4.440
1,7:42,1,10,ARI 17,0,3,Cedric Benson right tackle for 3 yards (tackle by Stewart Bradley and Clark Haggans),4.440,4.320
1,6:59,2,7,ARI 14,0,3,Andy Dalton pass complete short left to Jerome Simpson for 3 yards (tackle by Richard Marshall),4.320,4.100
1,6:31,,,,0,3,Timeout #1 by Cincinnati Bengals,0.000,4.100
1,6:31,3,4,ARI 11,0,9,"Andy Dalton pass complete short left to Jermaine Gresham for 11 yards, touchdown",4.100,7.000
1,,,,ARI 2,0,10,Mike Nugent kicks extra point good,0.000,0.000
1,,,,CIN 35,0,10,"Mike Nugent kicks off 70 yards, touchback",0.000,0.280
1,6:24,1,10,ARI 20,0,10,Chris Wells right tackle for 1 yard (tackle by Chris Crocker and Rey Maualuga),0.280,-0.130
1,5:48,2,9,ARI 21,0,10,John Skelton pass complete deep right to Andre Roberts for 22 yards (tackle by Reggie Nelson),-0.130,1.800
1,5:08,1,10,ARI 43,0,10,Chris Wells left tackle for 2 yards (tackle by Rey Maualuga),1.800,1.520
1,4:30,2,8,ARI 45,0,10,John Skelton sacked by Jonathan Fanene for -6 yards,1.520,0.040
1,3:58,3,14,ARI 39,0,10,John Skelton pass complete short right to Todd Heap for 9 yards (tackle by Nate Clements),0.040,-0.190
1,3:23,4,5,ARI 48,0,10,"Dave Zastudil punts 36 yards, fair catch by Brandon Tate",-0.190,0.140
1,3:16,1,10,CIN 16,0,10,Andy Dalton pass complete short right to Donald Lee for no gain,-0.140,-0.660
1,2:35,2,10,CIN 16,0,10,Andy Dalton pass complete short middle to Jermaine Gresham for 12 yards (tackle by Richard Marshall and Stewart Bradley),-0.660,0.810
1,1:54,1,10,CIN 28,0,10,Andy Dalton up the middle for 12 yards (tackle by O'Brien Schofield),0.810,1.600
1,1:12,1,10,CIN 40,0,10,Bernard Scott right tackle for 6 yards (tackle by Daryl Washington),1.600,1.860
1,0:35,2,4,CIN 46,0,10,Bernard Scott left end for 9 yards (tackle by Adrian Wilson),1.860,2.590
Quarter,Time,Down,ToGo,Location,ARI,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ARI 45,0,10,Andy Dalton pass complete short right to Jerome Simpson for 8 yards (tackle by A.J. Jefferson),2.590,3.120
2,14:20,2,2,ARI 37,0,10,Andy Dalton pass complete deep left to A.J. Green for 17 yards (tackle by A.J. Jefferson),3.120,4.240
2,13:39,1,10,ARI 20,0,10,Bernard Scott for 2 yards (tackle by Kerry Rhodes),4.240,3.960
2,13:06,2,8,ARI 18,0,10,Andy Dalton pass incomplete short right intended for Jermaine Gresham (defended by Kerry Rhodes),3.960,3.220
2,12:59,3,8,ARI 18,0,10,Andy Dalton pass incomplete deep right intended for A.J. Green (defended by Patrick Peterson). Penalty on Kyle Cook: Offensive Holding (Declined),3.220,2.250
2,12:54,4,8,ARI 18,0,10,Mike Nugent 35 yard field goal no good,2.250,-0.670
2,12:50,1,10,ARI 26,0,10,John Skelton pass incomplete deep middle intended for Larry Fitzgerald (defended by Pacman Jones),0.670,0.130
2,12:42,2,10,ARI 26,0,10,Chris Wells up the middle for 3 yards (tackle by Domata Peko and Geno Atkins),0.130,-0.160
2,11:53,3,7,ARI 29,0,10,"Penalty on John Skelton: Delay of Game, 5 yards (no play)",-0.160,-0.820
2,11:36,3,12,ARI 24,0,10,John Skelton pass complete short right to Chester Taylor for 10 yards (tackle by Kelly Jennings and Thomas Howard),-0.820,-1.110
2,10:58,4,2,ARI 34,0,10,Dave Zastudil punts 35 yards,-1.110,-1.000
2,10:48,1,10,CIN 31,0,10,Cedric Benson right tackle for 1 yard (tackle by Adrian Wilson),1.000,0.600
2,10:10,2,9,CIN 32,0,10,Andy Dalton pass complete short left to Jerome Simpson for 6 yards (tackle by A.J. Jefferson),0.600,0.700
2,9:48,3,3,CIN 38,0,10,Cedric Benson left tackle for 6 yards (tackle by Clark Haggans and Calais Campbell),0.700,1.860
2,9:06,1,10,CIN 44,0,10,"Andy Dalton pass complete short middle to A.J. Green for 8 yards (tackle by Daryl Washington). Penalty on Darnell Dockett: Roughing the Passer, 15 yards",1.860,3.380
2,8:35,1,10,ARI 33,0,10,Andy Dalton pass incomplete deep left intended for Jermaine Gresham (defended by Kerry Rhodes),3.380,2.840
2,8:29,2,10,ARI 33,0,10,Andy Dalton pass incomplete short left intended for Andrew Hawkins (defended by Michael Adams),2.840,2.150
2,8:24,3,10,ARI 33,0,10,Andy Dalton pass complete short middle to Ryan Whalen for 3 yards (tackle by Daryl Washington),2.150,1.410
2,7:42,4,7,ARI 30,0,10,Mike Nugent 48 yard field goal no good,1.410,-1.470
2,7:37,1,10,ARI 38,0,10,John Skelton pass complete short left to Chester Taylor for 9 yards (tackle by Pacman Jones),1.470,2.140
2,7:30,2,1,ARI 47,0,10,John Skelton pass incomplete short right intended for Todd Heap,2.140,1.420
2,7:25,3,1,ARI 47,0,10,John Skelton up the middle for 1 yard (tackle by Micah Johnson and Domata Peko),1.420,2.130
2,6:55,1,10,ARI 48,0,10,John Skelton pass incomplete short left intended for Early Doucet,2.130,1.580
2,6:52,2,10,ARI 48,0,10,John Skelton pass incomplete short right intended for Chester Taylor,1.580,0.890
2,6:48,3,10,ARI 48,0,10,John Skelton pass incomplete short right intended for Andre Roberts is intercepted by Nate Clements at CIN-44 and returned for -2 yards (tackle by Lyle Sendlein),0.890,-1.730
2,6:36,1,10,CIN 42,0,10,Andy Dalton pass incomplete short right intended for Cedric Benson,1.730,1.190
2,6:31,2,10,CIN 42,0,10,Cedric Benson left tackle for 9 yards (tackle by Adrian Wilson and Patrick Peterson),1.190,1.690
2,5:46,3,1,ARI 49,0,10,Andy Dalton right tackle for 17 yards (tackle by Daryl Washington),1.690,3.450
2,5:06,1,10,ARI 32,0,10,Andy Dalton pass complete short right to Cedric Benson for 8 yards (tackle by Daryl Washington),3.450,3.980
2,4:22,2,2,ARI 24,0,10,Andy Dalton pass incomplete short left intended for A.J. Green (defended by Calais Campbell),3.980,3.270
2,4:17,3,2,ARI 24,0,10,Cedric Benson right guard for 3 yards (tackle by Paris Lenon),3.270,4.170
2,3:37,1,10,ARI 21,0,10,Cedric Benson left tackle for 2 yards (tackle by Kerry Rhodes and Daryl Washington),4.170,3.900
2,2:54,2,8,ARI 19,0,16,"Andy Dalton pass complete deep left to Jerome Simpson for 19 yards, touchdown",3.900,7.000
2,,,,ARI 2,0,17,Mike Nugent kicks extra point good,0.000,0.000
2,,,,CIN 35,0,17,"Mike Nugent kicks off 66 yards, returned by A.J. Jefferson for 21 yards (tackle by Reggie Nelson)",0.000,0.280
2,2:40,1,10,ARI 20,0,17,John Skelton pass incomplete short middle intended for Todd Heap (defended by Robert Geathers),0.280,-0.270
2,2:36,2,10,ARI 20,0,17,John Skelton left end for 1 yard (tackle by Bart Johnson),-0.270,-0.820
2,2:00,3,9,ARI 21,0,17,John Skelton pass incomplete deep left intended for Larry Fitzgerald,-0.820,-1.960
2,1:54,4,9,ARI 21,0,17,"Dave Zastudil punts 28 yards. Penalty on Vincent Rey: Offensive Holding, 10 yards",-1.960,-1.660
2,1:47,1,10,CIN 41,0,17,Andy Dalton pass complete short left to Ryan Whalen for 4 yards,1.660,1.660
2,1:43,2,6,CIN 45,0,17,"Penalty on Mike McGlynn: False Start, 5 yards (no play)",1.660,0.990
2,1:43,2,11,CIN 40,0,17,Cedric Peerman right end for 7 yards (tackle by Daryl Washington),0.990,1.220
2,1:11,3,4,CIN 47,0,17,Andy Dalton pass complete short left to Ryan Whalen for 13 yards (tackle by Michael Adams),1.220,2.920
2,0:46,1,10,ARI 40,0,17,Andy Dalton pass complete short middle to Jermaine Gresham for 12 yards (tackle by Kerry Rhodes),2.920,3.710
2,0:26,1,10,ARI 28,0,17,"Andy Dalton pass incomplete deep right intended for Ryan Whalen (defended by Michael Adams). Penalty on Michael Adams: Defensive Pass Interference, 16 yards (no play)",3.710,4.780
2,0:18,1,10,ARI 12,0,17,Andy Dalton sacked by Calais Campbell for -11 yards,4.780,2.740
2,0:04,,,,0,17,Timeout #3 by Cincinnati Bengals,0.000,2.740
2,0:04,2,21,ARI 23,0,20,Mike Nugent 41 yard field goal good,2.740,3.000
Quarter,Time,Down,ToGo,Location,ARI,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,0,20,"Jay Feely kicks off 66 yards, returned by Brandon Tate for 27 yards (tackle by Richard Marshall)",0.000,0.670
3,14:55,1,10,CIN 26,0,20,A.J. Green for 22 yards (tackle by Kerry Rhodes),0.670,2.130
3,14:25,1,10,CIN 48,0,20,Cedric Benson left tackle for 5 yards (tackle by Calais Campbell),2.130,2.260
3,13:46,2,5,ARI 47,0,20,Cedric Benson left tackle for -2 yards (tackle by Daryl Washington),2.260,1.290
3,13:04,3,7,ARI 49,0,20,Andy Dalton pass incomplete short right intended for A.J. Green,1.290,0.000
3,13:01,4,7,ARI 49,0,20,"Kevin Huber punts 30 yards, fair catch by Patrick Peterson",0.000,-0.150
3,12:53,1,10,ARI 19,0,20,Chris Wells right tackle for 8 yards (tackle by Rey Maualuga and Manny Lawson),0.150,0.750
3,12:19,2,2,ARI 27,0,20,John Skelton left end for 4 yards (tackle by Chris Crocker),0.750,1.000
3,11:46,1,10,ARI 31,0,20,Chris Wells right tackle for 7 yards (tackle by Reggie Nelson),1.000,1.410
3,11:08,2,3,ARI 38,0,20,Chris Wells right tackle for 4 yards (tackle by Manny Lawson and Taylor Mays),1.410,1.730
3,10:34,1,10,ARI 42,0,20,John Skelton pass incomplete deep right intended for Larry Fitzgerald is intercepted by Reggie Nelson at CIN-35 and returned for 17 yards (tackle by Anthony Sherman),1.730,-2.390
3,10:24,1,10,ARI 48,0,20,Cedric Benson right end for no gain (tackle by Darnell Dockett),2.390,1.850
3,9:46,2,10,ARI 48,0,20,Andy Dalton pass incomplete,1.850,1.160
3,9:37,3,10,ARI 48,0,20,Andy Dalton pass complete short middle to Andrew Hawkins for 3 yards (tackle by Darnell Dockett),1.160,0.270
3,9:01,4,7,ARI 45,0,20,"Penalty on Jeromy Miles: False Start, 5 yards (no play)",0.270,-0.060
3,9:01,4,12,,0,20,"Kevin Huber punts 50 yards, touchback",-0.060,-0.280
3,8:52,1,10,ARI 20,0,20,Chris Wells left tackle for 6 yards (tackle by Domata Peko and Thomas Howard),0.280,0.540
3,8:19,2,4,ARI 26,0,20,John Skelton pass complete short right to Patrick Peterson for -1 yards (tackle by Nate Clements),0.540,-0.300
3,7:37,3,5,ARI 25,0,20,John Skelton sacked by Jonathan Fanene and Geno Atkins for -6 yards,-0.300,-2.140
3,7:12,4,11,ARI 19,0,20,"Dave Zastudil punts 45 yards, returned by Brandon Tate for 2 yards (tackle by Anthony Sherman)",-2.140,-1.470
3,7:00,1,10,CIN 38,0,20,"Andy Dalton pass incomplete deep middle intended for A.J. Green is intercepted by Patrick Peterson at ARI-20. Penalty on Adrian Wilson: Roughing the Passer, 15 yards (no play)",1.470,2.460
3,6:52,1,10,ARI 47,0,20,Bernard Scott right tackle for 2 yards (tackle by Daryl Washington),2.460,2.180
3,6:14,2,8,ARI 45,0,20,Andy Dalton pass complete short middle to Jermaine Gresham for 9 yards (tackle by Paris Lenon),2.180,3.180
3,5:34,1,10,ARI 36,0,20,Bernard Scott left end for 5 yards (tackle by Richard Marshall),3.180,3.310
3,5:03,2,5,ARI 31,0,20,"Bernard Scott right end for -5 yards (tackle by Darnell Dockett). Penalty on Darnell Dockett: Horse Collar Tackle, 15 yards",3.310,4.170
3,4:41,1,10,ARI 21,0,20,"Bernard Scott for 6 yards (tackle by Daryl Washington). Penalty on Donald Lee: Offensive Holding (Offsetting), Penalty on Daryl Washington: Personal Foul (Offsetting) (no play)",4.170,4.170
3,4:18,1,10,ARI 21,0,20,Andy Dalton pass incomplete,4.170,3.630
3,4:11,2,10,ARI 21,0,20,Andy Dalton pass incomplete deep right intended for A.J. Green,3.630,2.940
3,4:05,3,10,ARI 21,0,20,Andy Dalton left end for 7 yards (tackle by Adrian Wilson),2.940,2.610
3,3:19,4,3,ARI 14,0,23,Mike Nugent 32 yard field goal good,2.610,3.000
3,,,,CIN 35,0,23,"Mike Nugent kicks off 62 yards, returned by A.J. Jefferson for 11 yards (tackle by Cedric Peerman)",0.000,-0.280
3,2:59,1,10,ARI 14,0,23,John Skelton pass incomplete deep middle intended for Early Doucet,-0.280,-0.750
3,2:52,2,10,ARI 14,0,23,Chris Wells right end for 7 yards (tackle by Geno Atkins and Reggie Nelson),-0.750,-0.560
3,2:12,3,3,ARI 21,0,23,John Skelton pass complete short middle to Todd Heap for 20 yards (tackle by Chris Crocker). Penalty on Pacman Jones: Illegal Use of Hands (Declined),-0.560,1.660
3,1:51,1,10,ARI 41,0,23,John Skelton sacked by Reggie Nelson for -8 yards,1.660,0.040
3,1:25,2,18,ARI 33,0,23,John Skelton pass complete short middle to Rob Housler for 11 yards (tackle by Thomas Howard),0.040,0.830
3,0:40,3,7,ARI 44,0,23,John Skelton pass incomplete short left intended for Chansi Stuckey,0.830,-0.460
3,0:35,4,7,ARI 44,0,23,"Dave Zastudil punts 46 yards, fair catch by Brandon Tate",-0.460,0.380
3,0:29,1,10,CIN 10,0,23,Cedric Benson right tackle for 4 yards (tackle by David Carter and Adrian Wilson),-0.380,-0.460
Quarter,Time,Down,ToGo,Location,ARI,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,CIN 14,0,23,A.J. Green for 3 yards (tackle by Sam Acho),-0.460,-0.600
4,14:30,3,3,CIN 17,0,23,Andy Dalton pass incomplete deep right intended for A.J. Green,-0.600,-2.320
4,14:25,4,3,CIN 17,0,23,Kevin Huber punts 44 yards,-2.320,-1.530
4,14:17,1,10,ARI 39,0,23,John Skelton pass incomplete short middle intended for Todd Heap (defended by Thomas Howard),1.530,0.990
4,14:13,2,10,ARI 39,0,23,Chris Wells right guard for no gain (tackle by Kelly Jennings),0.990,0.300
4,13:31,3,10,ARI 39,0,23,John Skelton pass complete deep middle to Early Doucet for 20 yards (tackle by Reggie Nelson),0.300,2.850
4,13:01,1,10,CIN 41,0,23,John Skelton pass complete short right to Andre Roberts for 8 yards (tackle by Kelly Jennings),2.850,3.390
4,12:25,2,2,CIN 33,0,23,John Skelton pass incomplete short middle intended for Early Doucet (defended by Chris Crocker),3.390,2.680
4,12:18,3,2,CIN 33,0,23,John Skelton pass incomplete short middle intended for Andre Roberts,2.680,1.200
4,12:13,4,2,CIN 33,0,23,Chris Wells left end for 3 yards (tackle by Pacman Jones),1.200,3.580
4,11:39,1,10,CIN 30,0,23,John Skelton pass incomplete short left intended for Rob Housler,3.580,3.030
4,11:34,2,10,CIN 30,6,23,"John Skelton pass complete short middle to Larry Fitzgerald for 30 yards, touchdown",3.030,7.000
4,,,,CIN 2,7,23,Jay Feely kicks extra point good,0.000,0.000
4,,,,ARI 35,7,23,"Jay Feely kicks off 53 yards, returned by Brandon Tate for 13 yards (tackle by Reggie Walker)",0.000,0.610
4,11:19,1,10,CIN 25,7,23,Andy Dalton pass complete short right to Jerome Simpson for 6 yards (tackle by A.J. Jefferson),0.610,0.870
4,10:47,2,4,CIN 31,7,23,Cedric Benson left end for 6 yards (tackle by Daryl Washington),0.870,1.400
4,10:02,1,10,CIN 37,7,23,Andy Dalton sacked by Sam Acho for -7 yards,1.400,-0.090
4,9:27,2,17,CIN 30,7,23,"Cedric Benson right tackle for 8 yards (tackle by Adrian Wilson and A.J. Jefferson). Cedric Benson fumbles (forced by Adrian Wilson), recovered by Kerry Rhodes at CIN-39 (tackle by Donald Lee)",-0.090,-2.980
4,9:19,1,10,CIN 39,7,23,John Skelton pass incomplete deep right intended for Larry Fitzgerald,2.980,2.440
4,9:13,2,10,CIN 39,7,23,John Skelton pass complete deep middle to Early Doucet for 27 yards (tackle by Nate Clements),2.440,4.780
4,8:31,1,10,CIN 12,7,23,John Skelton pass complete short middle to Larry Fitzgerald for 10 yards (tackle by Bart Johnson and Reggie Nelson),4.780,6.740
4,7:45,1,2,CIN 2,13,23,"John Skelton pass complete short middle to Jeff King for 2 yards, touchdown",6.740,7.000
4,,,,,13,23,"Two Point Attempt: John Skelton, conversion fails",1.000,-1.000
4,,,,ARI 35,13,23,"Jay Feely kicks off 70 yards, touchback",0.000,0.280
4,7:39,1,10,CIN 20,13,23,Bernard Scott left guard for no gain (tackle by Adrian Wilson and Calais Campbell),0.280,-0.270
4,7:03,2,10,CIN 20,13,23,Andy Dalton pass incomplete short left intended for Jerome Simpson (defended by Calais Campbell),-0.270,-0.960
4,6:58,3,10,CIN 20,13,23,Andy Dalton left end for 6 yards (tackle by Calais Campbell),-0.960,-1.630
4,6:22,4,4,CIN 26,13,23,"Kevin Huber punts 51 yards, returned by Andre Roberts for -2 yards (tackle by Jeromy Miles)",-1.630,-0.340
4,6:12,1,10,ARI 21,13,23,"Penalty on Micah Johnson: Neutral Zone Infraction, 5 yards (no play)",0.340,1.070
4,6:12,1,5,ARI 26,13,23,John Skelton pass complete short middle to Larry Fitzgerald for 11 yards (tackle by Micah Johnson and Pacman Jones),1.070,1.400
4,5:37,1,10,ARI 37,13,23,"John Skelton pass complete short right to Andre Roberts for 8 yards (tackle by Kelly Jennings). Penalty on Geno Atkins: Unnecessary Roughness, 15 yards",1.400,2.920
4,5:10,1,10,CIN 40,13,23,John Skelton pass incomplete deep middle intended for Andre Roberts (defended by Pacman Jones),2.920,2.370
4,5:02,2,10,CIN 40,13,23,John Skelton pass complete deep left to Larry Fitzgerald for 39 yards (tackle by Pacman Jones),2.370,6.970
4,4:14,1,1,CIN 1,13,23,"John Skelton for no gain. John Skelton fumbles, recovered by Chris Wells at CIN-11",6.970,4.020
4,3:30,2,11,CIN 11,13,23,John Skelton pass incomplete short middle intended for Chansi Stuckey (defended by Kelly Jennings),4.020,3.120
4,3:25,,,,13,23,Timeout #1 by Arizona Cardinals,0.000,3.120
4,3:25,3,11,CIN 11,13,23,John Skelton pass incomplete short middle intended for Larry Fitzgerald (defended by Chris Crocker),3.120,2.700
4,3:20,4,11,CIN 11,16,23,Jay Feely 29 yard field goal good,2.700,3.000
4,,,,ARI 35,16,23,"Jay Feely kicks off 65 yards, touchback",0.000,0.280
4,3:16,1,10,CIN 20,16,23,"Cedric Benson left guard for 2 yards (tackle by Calais Campbell). Cedric Benson fumbles (forced by Calais Campbell), recovered by Kerry Rhodes at CIN-23 and returned for 1 yards (tackle by Jermaine Gresham)",0.280,-4.110
4,3:04,1,10,CIN 22,16,23,John Skelton pass complete short right to LaRod Stephens-Howling for 2 yards (tackle by Kelly Jennings),4.110,3.830
4,2:27,2,8,CIN 20,16,23,Chris Wells left tackle for 1 yard (tackle by Micah Johnson),3.830,3.260
4,2:00,3,7,CIN 19,16,23,John Skelton pass complete short middle to Larry Fitzgerald for 2 yards (tackle by Nate Clements),3.260,2.360
4,1:18,4,5,CIN 17,16,23,John Skelton pass incomplete deep right intended for Early Doucet,2.360,0.060
4,1:12,1,10,CIN 17,16,23,"Bernard Scott right guard for -3 yards (tackle by Darnell Dockett and David Carter). Penalty on Nate Livings: Personal Foul, 7 yards",-0.060,-1.510
4,1:07,2,20,CIN 7,16,23,Bernard Scott left guard for 3 yards (tackle by Clark Haggans),-1.510,-2.240
4,1:02,,,,16,23,Timeout #2 by Arizona Cardinals,0.000,-2.240
4,1:02,3,17,CIN 10,16,23,Bernard Scott right tackle for 9 yards (tackle by Darnell Dockett),-2.240,-2.140
4,0:57,,,,16,23,Timeout #3 by Arizona Cardinals,0.000,-2.140
4,0:57,4,8,CIN 19,16,23,"Kevin Huber punts 40 yards, returned by Andre Roberts for -1 yards (tackle by Jeromy Miles)",-2.140,-1.600
4,0:48,1,10,ARI 40,16,23,John Skelton pass complete short left to Andre Roberts for 8 yards (tackle by Pacman Jones),1.600,2.130
4,0:41,2,2,ARI 48,16,23,John Skelton pass complete short middle to Andre Roberts for 10 yards (tackle by Bart Johnson),2.130,2.790
4,0:28,1,10,CIN 42,16,23,John Skelton spiked the ball,2.790,2.240
4,0:27,2,10,CIN 42,16,23,John Skelton pass complete short middle to Chris Wells for 8 yards (tackle by Thomas Howard),2.240,2.610
4,0:06,3,2,CIN 34,16,23,John Skelton pass complete deep middle to Andre Roberts for 19 yards (tackle by Thomas Howard),2.610,2.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
