Quarter,Time,Tm,Detail,ARI,CIN
1.0,10:55,Bengals,Mike Nugent 24 yard field goal,0,3
,6:24,Bengals,Jermaine Gresham 11 yard pass from Andy Dalton (Mike Nugent kick),0,10
2.0,2:46,Bengals,Jerome Simpson 19 yard pass from Andy Dalton (Mike Nugent kick),0,17
,0:00,Bengals,Mike Nugent 41 yard field goal,0,20
3.0,3:09,Bengals,Mike Nugent 32 yard field goal,0,23
4.0,11:25,Cardinals,Larry Fitzgerald 30 yard pass from John Skelton (Jay Feely kick),7,23
,7:39,Cardinals,Jeff King 2 yard pass from John Skelton (run failed),13,23
,3:16,Cardinals,Jay Feely 29 yard field goal,16,23
