Unnamed: 0,ARI,CIN
First Downs,17,21
Rush-Yds-TDs,18-59-0,34-165-0
Cmp-Att-Yd-TD-INT,23-44-297-2-3,18-31-154-2-0
Sacked-Yards,5-40,2-18
Net Pass Yards,257,136
Total Yards,316,301
Fumbles-Lost,1-0,2-2
Turnovers,3,2
Penalties-Yards,6-87,6-47
Third Down Conv.,4-14,5-14
Fourth Down Conv.,1-2,0-0
Time of Possession,28:21,31:39
