Unnamed: 0,ARI,SFO
First Downs,18,30
Rush-Yds-TDs,22-59-0,36-232-3
Cmp-Att-Yd-TD-INT,19-40-179-2-1,20-29-267-4-0
Sacked-Yards,3-28,1-3
Net Pass Yards,151,264
Total Yards,210,496
Fumbles-Lost,2-1,1-1
Turnovers,2,1
Penalties-Yards,1-13,5-54
Third Down Conv.,3-14,6-12
Fourth Down Conv.,2-3,0-1
Time of Possession,27:57,32:03
