Quarter,Time,Down,ToGo,Location,DAL,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Josh Scobee kicks off 68 yards, returned by Dwayne Harris for 23 yards (tackle by Khairi Fortt)",0.000,-0.280
1,14:56,1,10,DAL 20,0,0,DeMarco Murray right end for 23 yards (tackle by Jonathan Cyprien),0.280,1.800
1,14:23,1,10,DAL 43,0,0,Tony Romo pass complete short middle to DeMarco Murray for 17 yards (tackle by Sen'Derrick Marks),1.800,2.920
1,13:40,1,10,JAX 40,0,0,DeMarco Murray right guard for 3 yards (tackle by Roy Miller and J.T. Thomas),2.920,2.780
1,13:04,2,7,JAX 37,0,0,DeMarco Murray left tackle for 1 yard (tackle by Red Bryant),2.780,2.210
1,12:19,3,6,JAX 36,0,0,Tony Romo pass incomplete deep left intended for Jason Witten,2.210,0.880
1,12:13,4,6,JAX 36,3,0,Dan Bailey 54 yard field goal good,0.880,3.000
1,12:13,,,DAL 35,3,0,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
1,12:09,1,10,JAX 20,3,0,Blake Bortles pass complete short right to Clay Harbor for 5 yards (tackle by J.J. Wilcox),0.280,0.410
1,11:33,2,5,JAX 25,3,0,Denard Robinson left guard for 2 yards (tackle by Anthony Hitchens),0.410,-0.030
1,10:56,3,3,JAX 27,3,0,Blake Bortles pass complete short left to Allen Robinson for 3 yards (tackle by Sterling Moore),-0.030,0.940
1,10:16,1,10,JAX 30,3,0,Denard Robinson left end for 2 yards (tackle by Bruce Carter),0.940,0.660
1,9:36,2,8,JAX 32,3,0,Blake Bortles pass complete short middle to Cecil Shorts for 24 yards (tackle by J.J. Wilcox),0.660,2.650
1,9:01,1,10,DAL 44,3,0,Blake Bortles pass incomplete deep left intended for Allen Robinson,2.650,2.650
1,8:55,1,10,DAL 44,3,0,Timeout #1 by Jacksonville Jaguars,2.650,2.110
1,8:55,2,10,DAL 44,3,0,Denard Robinson left guard for 4 yards (tackle by Anthony Hitchens),2.110,2.110
1,8:20,2,10,DAL 44,3,0,Timeout #1 by Dallas Cowboys,2.110,1.950
1,8:20,3,6,DAL 40,3,0,Blake Bortles pass complete short left to Allen Robinson for 8 yards (tackle by Sterling Moore),1.950,3.450
1,7:44,1,10,DAL 32,3,6,"Denard Robinson right end for 32 yards, touchdown",3.450,7.000
1,7:44,,,DAL 2,3,7,Josh Scobee kicks extra point good,0.000,0.000
1,7:44,,,JAX 35,3,7,"Josh Scobee kicks off 65 yards, touchback",0.000,-0.280
1,7:36,1,10,DAL 20,3,7,Tony Romo pass complete short left to DeMarco Murray for 4 yards (tackle by Josh Evans),0.280,0.270
1,6:54,2,6,DAL 24,3,7,DeMarco Murray right guard for 8 yards (tackle by Demetrius McCray),0.270,1.070
1,6:15,1,10,DAL 32,3,7,"Penalty on Tyron Smith: False Start, 5 yards (no play)",1.070,0.740
1,5:54,1,15,DAL 27,3,7,Tony Romo pass complete short right to Jason Witten for 3 yards (tackle by Jonathan Cyprien),0.740,0.260
1,5:15,2,12,DAL 30,3,7,DeMarco Murray left end for 6 yards (tackle by Jonathan Cyprien),0.260,0.370
1,4:36,3,6,DAL 36,3,7,"Tony Romo pass complete deep left to Devin Street for 28 yards (tackle by Demetrius McCray). Penalty on Devin Street: Offensive Pass Interference, 10 yards (no play)",0.370,-0.960
1,4:11,3,16,DAL 26,3,7,Tony Romo pass complete short right to Lance Dunbar for 4 yards (tackle by Telvin Smith),-0.960,-1.370
1,3:39,4,12,DAL 30,3,7,"Chris Jones punts 56 yards, muffed catch by Ace Sanders, recovered by C.J. Spillman and returned for no gain",-1.370,5.830
1,3:27,1,6,JAX 6,3,7,DeMarco Murray left guard for 4 yards (tackle by Abry Jones),5.830,5.720
1,2:42,2,2,JAX 2,3,7,Tony Romo pass incomplete short left intended for Dez Bryant (defended by Demetrius McCray),5.720,4.950
1,2:38,3,2,JAX 2,9,7,"Tony Romo pass complete short right to Jason Witten for 2 yards, touchdown",4.950,7.000
1,2:38,,,JAX 2,10,7,Dan Bailey kicks extra point good,0.000,0.000
1,2:38,,,DAL 35,10,7,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
1,2:30,1,10,JAX 20,10,7,Blake Bortles pass complete short left to Denard Robinson for 1 yard (tackle by Bruce Carter),0.280,-0.130
1,1:55,2,9,JAX 21,10,7,"Denard Robinson left end for no gain (tackle by Nick Hayden and J.J. Wilcox). Penalty on Clay Harbor: Offensive Holding, 10 yards (no play)",-0.130,-1.440
1,1:32,2,19,JAX 11,10,7,Blake Bortles pass incomplete short left intended for Allen Robinson (defended by Orlando Scandrick),-1.440,-2.470
1,1:29,3,19,JAX 11,10,7,Blake Bortles pass complete short left to Jordan Todman for 13 yards (tackle by Anthony Hitchens),-2.470,-1.770
