Unnamed: 0,DAL,JAX
First Downs,16,20
Rush-Yds-TDs,30-151-1,24-71-2
Cmp-Att-Yd-TD-INT,21-28-254-3-0,22-37-290-0-1
Sacked-Yards,1-6,4-28
Net Pass Yards,248,262
Total Yards,399,333
Fumbles-Lost,1-1,3-2
Turnovers,1,3
Penalties-Yards,9-65,2-19
Third Down Conv.,4-13,4-14
Fourth Down Conv.,0-0,2-4
Time of Possession,31:32,28:28
