Quarter,Time,Tm,Detail,DAL,JAX
1.0,12:09,Cowboys,Dan Bailey 54 yard field goal,3,0
,7:36,Jaguars,Denard Robinson 32 yard rush (Josh Scobee kick),3,7
,2:30,Cowboys,Jason Witten 2 yard pass from Tony Romo (Dan Bailey kick),10,7
2.0,7:01,Cowboys,Dez Bryant 35 yard pass from Tony Romo (Dan Bailey kick),17,7
,0:19,Cowboys,Dez Bryant 68 yard pass from Tony Romo (Dan Bailey kick),24,7
3.0,7:34,Cowboys,Joseph Randle 40 yard rush (Dan Bailey kick),31,7
4.0,7:55,Jaguars,"Safety, Penalty on Kyle Wilber enforced in end zone for a Safety.",31,9
,1:53,Jaguars,Denard Robinson 1 yard rush (Allen Robinson pass from Blake Bortles),31,17
