Quarter,Time,Down,ToGo,Location,DAL,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Kai Forbath kicks off 66 yards, returned by Lucky Whitehead for 22 yards (tackle by Kentrell Brothers)",0.000,-0.340
1,14:55,1,10,DAL 21,0,0,Ezekiel Elliott right tackle for 12 yards (tackle by Andrew Sendejo),0.340,1.140
1,14:15,1,10,DAL 33,0,0,"Penalty on Tyron Smith: False Start, 5 yards (no play)",1.140,0.810
1,13:55,1,15,DAL 28,0,0,Dak Prescott pass complete short right to Dez Bryant for 7 yards (tackle by Xavier Rhodes),0.810,0.860
1,13:17,2,8,DAL 35,0,0,Ezekiel Elliott left guard for no gain (tackle by Andrew Sendejo),0.860,0.170
1,12:36,3,8,DAL 35,0,0,Dak Prescott pass incomplete short right intended for Cole Beasley,0.170,-1.040
1,12:30,4,8,DAL 35,0,0,"Chris Jones punts 55 yards, returned by Adam Thielen for 1 yard (tackle by Kyle Wilber)",-1.040,0.370
1,12:19,1,10,MIN 11,0,0,Matt Asiata middle for 5 yards (tackle by Brandon Carr),-0.370,-0.300
1,11:40,2,5,MIN 16,0,0,Sam Bradford pass complete short middle to Kyle Rudolph for 9 yards (tackle by Sean Lee and Anthony Hitchens),-0.300,0.610
1,10:59,1,10,MIN 25,0,0,Matt Asiata left guard for -1 yards (tackle by Damien Wilson),0.610,-0.070
1,10:23,2,11,MIN 24,0,0,"Penalty on T.J. Clemmings: False Start, 5 yards (no play)",-0.070,-0.810
1,10:00,2,16,MIN 19,0,0,Sam Bradford pass incomplete short left intended for Kyle Rudolph,-0.810,-1.510
1,9:56,3,16,MIN 19,0,0,Sam Bradford pass complete deep left to Adam Thielen for 23 yards,-1.510,1.730
1,9:37,1,10,MIN 42,0,0,"Sam Bradford pass complete deep right to Cordarrelle Patterson for 31 yards. Penalty on Cordarrelle Patterson: Offensive Pass Interference, 10 yards (no play)",1.730,1.070
1,9:16,1,20,MIN 32,0,0,Sam Bradford pass complete short left to Cordarrelle Patterson for 5 yards (tackle by Brandon Carr and Byron Jones),1.070,0.510
1,8:35,2,15,MIN 37,0,0,Jerick McKinnon right guard for 3 yards (tackle by Sean Lee),0.510,0.230
1,7:53,3,12,MIN 40,0,0,Sam Bradford pass complete short right to Kyle Rudolph for 3 yards (tackle by Byron Jones),0.230,-0.520
1,7:12,4,9,MIN 43,0,0,"Jeff Locke punts 43 yards, returned by Lucky Whitehead for 1 yard (tackle by Audie Cole)",-0.520,0.220
1,6:58,1,10,DAL 15,0,0,Dak Prescott pass incomplete deep right intended for Dez Bryant,-0.220,-0.710
1,6:51,2,10,DAL 15,0,0,"Ezekiel Elliott left end for no gain (tackle by Anthony Barr). Ezekiel Elliott fumbles (forced by Anthony Barr), recovered by Ezekiel Elliott at DAL-15",-0.710,-1.370
1,6:30,3,10,DAL 15,0,0,Dak Prescott pass complete short left to Ezekiel Elliott for no gain,-1.370,-2.440
1,5:54,4,10,DAL 15,0,0,"Chris Jones punts 48 yards, out of bounds",-2.440,-1.400
1,5:45,1,10,MIN 37,0,0,Sam Bradford pass complete short left to Kyle Rudolph for 17 yards (tackle by Byron Jones),1.400,2.520
1,5:04,1,10,DAL 46,0,0,Sam Bradford pass complete short right to Adam Thielen for 16 yards (tackle by Barry Church),2.520,3.580
1,4:30,1,10,DAL 30,0,0,Jerick McKinnon middle for 3 yards (tackle by Anthony Hitchens),3.580,3.440
1,3:50,2,7,DAL 27,0,0,Sam Bradford pass complete short left to Stefon Diggs for 6 yards (tackle by Byron Jones),3.440,3.530
1,3:08,3,1,DAL 21,0,0,"Zach Line middle for 4 yards (tackle by Damien Wilson). Penalty on Alex Boone: Offensive Holding, 10 yards (no play)",3.530,2.210
1,2:37,3,11,DAL 31,0,0,Sam Bradford pass incomplete short right intended for Kyle Rudolph,2.210,1.320
1,2:33,4,11,DAL 31,0,3,Kai Forbath 48 yard field goal good,1.320,3.000
