Unnamed: 0,DAL,MIN
First Downs,13,21
Rush-Yds-TDs,28-140-1,19-87-0
Cmp-Att-Yd-TD-INT,12-18-139-1-0,33-47-253-1-0
Sacked-Yards,3-15,3-22
Net Pass Yards,124,231
Total Yards,264,318
Fumbles-Lost,4-2,3-1
Turnovers,2,1
Penalties-Yards,10-78,8-57
Third Down Conv.,1-9,6-16
Fourth Down Conv.,0-0,0-0
Time of Possession,26:43,33:17
