Quarter,Time,Tm,Detail,SFO,NYG
1.0,5:52,Giants,Matt Bryant 29 yard field goal,0,3
,1:00,49ers,Jose Cortez 23 yard field goal,3,3
2.0,0:00,Giants,Matt Bryant 33 yard field goal,3,6
3.0,1:51,49ers,Garrison Hearst 9 yard pass from Jeff Garcia (Jose Cortez kick),10,6
4.0,8:08,49ers,Jose Cortez 33 yard field goal,13,6
,1:55,Giants,Tiki Barber 1 yard rush (Matt Bryant kick),13,13
,0:06,49ers,Jose Cortez 36 yard field goal,16,13
