Quarter,Time,Down,ToGo,Location,SFO,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,SFO 30,0,0,"Jose Cortez kicks off 75 yards, touchback",0.000,0.280
1,15:00,1,10,NYG 20,0,0,Tiki Barber left end for 4 yards (tackle by Chike Okeafor and Jason Webster),0.280,0.270
1,14:25,2,6,NYG 24,0,0,Kerry Collins pass incomplete intended for Jeremy Shockey (defended by Derek Smith),0.270,-0.430
1,14:20,3,6,NYG 24,0,0,"Penalty on Jeremy Shockey: False Start, 5 yards (no play)",-0.430,-1.140
1,14:20,3,11,NYG 19,0,0,Kerry Collins pass incomplete intended for Tiki Barber is intercepted by Tony Parrish at NYG-29 and returned for 6 yards,-1.140,-4.040
1,14:09,1,10,NYG 23,0,0,Jeff Garcia for 16 yards (tackle by Brandon Short),4.040,5.600
1,13:38,1,7,NYG 7,0,0,"Penalty on Ron Stone: False Start, 5 yards (no play)",5.600,4.640
1,13:35,1,12,NYG 12,0,0,Garrison Hearst left guard for 4 yards (tackle by Cornelius Griffin),4.640,4.570
1,12:47,2,8,NYG 8,0,0,Jeff Garcia pass incomplete intended for Terrell Owens (defended by Omar Stoutmire),4.570,3.580
1,12:40,3,8,NYG 8,0,0,Jeff Garcia pass complete to Garrison Hearst for 1 yard (tackle by Jason Sehorn and Shaun Williams),3.580,2.970
1,11:59,4,7,NYG 7,0,0,"Jose Cortez 25 yard field goal no good, blocked by Mike Rosenthal",2.970,-0.280
1,11:51,1,10,NYG 20,0,0,Kerry Collins pass complete to Amani Toomer for 2 yards (tackle by Jason Webster),0.280,0.000
1,11:23,2,8,NYG 22,0,0,"Kerry Collins pass incomplete intended for Amani Toomer. Penalty on Jason Webster: Defensive Pass Interference, 5 yards (no play)",0.000,0.740
1,11:19,1,10,NYG 27,0,0,Tiki Barber for 16 yards (tackle by Jamie Winborn),0.740,1.800
1,10:56,1,10,NYG 43,0,0,"Kerry Collins pass complete to Amani Toomer for 26 yards (tackle by Jason Webster). Penalty on Amani Toomer: Offensive Pass Interference, 10 yards (no play)",1.800,1.140
1,10:30,1,20,NYG 33,0,0,"Penalty on Amani Toomer: False Start, 5 yards (no play)",1.140,0.810
1,10:15,1,25,NYG 28,0,0,Ron Dayne right guard for no gain (tackle by Julian Peterson and Derek Smith),0.810,-0.770
1,9:39,2,25,NYG 28,0,0,Kerry Collins pass complete to Amani Toomer for 22 yards (tackle by Jason Webster),-0.770,1.490
1,8:57,3,3,,0,0,Kerry Collins pass complete to Amani Toomer for 14 yards (tackle by Zack Bronson),1.490,3.180
1,8:16,1,10,SFO 36,0,0,Tiki Barber right guard for 6 yards (tackle by Jamie Winborn),3.180,3.450
1,7:34,2,4,SFO 30,0,0,"Kerry Collins for no gain. Kerry Collins fumbles, recovered by Chike Okeafor at SFO-30 (tackle by Chris Bober). Penalty on Sean Moran: Defensive Offside, 5 yards (no play)",3.450,3.910
1,7:20,1,10,SFO 25,0,0,Kerry Collins pass complete to Ike Hilliard for 12 yards (tackle by Zack Bronson and Jason Webster),3.910,4.710
1,6:49,1,10,SFO 13,0,0,Ron Dayne right tackle for 2 yards (tackle by Jamie Winborn and Chike Okeafor),4.710,4.390
1,6:09,2,8,SFO 11,0,0,Kerry Collins pass incomplete intended for Amani Toomer (defended by Mike Rumph),4.390,3.450
1,6:04,3,8,SFO 11,0,0,Kerry Collins pass incomplete intended for Ike Hilliard,3.450,2.700
1,6:04,4,8,SFO 11,0,3,Matt Bryant 29 yard field goal good,2.700,3.000
1,6:04,,,NYG 30,0,3,"Matt Bryant kicks off 58 yards, returned by Jimmy Williams for 20 yards (tackle by Marcellus Rivers)",0.000,1.070
1,5:45,1,10,SFO 32,0,3,Jeff Garcia middle for 3 yards (tackle by Keith Hamilton and Micheal Barrow),1.070,0.930
1,5:04,2,7,SFO 35,0,3,Jeff Garcia pass incomplete intended for Eric Johnson,0.930,0.230
1,4:58,3,7,SFO 35,0,3,Jeff Garcia pass complete to Eric Johnson for 38 yards (tackle by Shaun Williams),0.230,3.780
1,4:16,1,10,NYG 27,0,3,Kevan Barlow right tackle for 2 yards (tackle by Michael Strahan and Micheal Barrow),3.780,3.500
1,3:34,2,8,NYG 25,0,3,Kevan Barlow left end for 19 yards (tackle by Shaun Williams and Omar Stoutmire),3.500,5.830
1,3:02,1,6,NYG 6,0,3,Jeff Garcia pass complete to Terrell Owens for 1 yard (tackle by Will Peterson and Will Allen),5.830,5.150
