Quarter,Time,Tm,Detail,CIN,BAL
1.0,12:53,Ravens,Justin Tucker 46 yard field goal,0,3
,6:03,Ravens,Ray Rice 7 yard rush (Justin Tucker kick),0,10
2.0,14:52,Bengals,Mike Nugent 34 yard field goal,3,10
,12:25,Ravens,Anquan Boldin 34 yard pass from Joe Flacco (Justin Tucker kick),3,17
,0:18,Bengals,BenJarvus Green-Ellis 6 yard rush (Mike Nugent kick),10,17
3.0,8:59,Bengals,Mike Nugent 19 yard field goal,13,17
,5:18,Ravens,Dennis Pitta 10 yard pass from Joe Flacco (Justin Tucker kick),13,24
,1:13,Ravens,Justin Tucker 40 yard field goal,13,27
,0:13,Ravens,Ed Reed 34 yard interception return (Justin Tucker kick),13,34
4.0,14:04,Ravens,Ray Rice 1 yard rush (Justin Tucker kick),13,41
,3:03,Ravens,Justin Tucker 39 yard field goal,13,44
