Unnamed: 0,CIN,BAL
First Downs,20,26
Rush-Yds-TDs,28-129-1,23-122-2
Cmp-Att-Yd-TD-INT,22-37-221-0-1,23-32-329-2-0
Sacked-Yards,4-28,3-21
Net Pass Yards,193,308
Total Yards,322,430
Fumbles-Lost,2-1,1-0
Turnovers,2,0
Penalties-Yards,3-41,6-50
Third Down Conv.,4-15,3-9
Fourth Down Conv.,2-3,1-1
Time of Possession,32:26,27:34
