Quarter,Time,Tm,Detail,TEN,DEN
1.0,0:26,Broncos,Noah Fant 9 yard pass from Drew Lock (Brandon McManus kick),0,7
2.0,9:21,Titans,MyCole Pruitt 1 yard pass from Ryan Tannehill (Stephen Gostkowski kick),7,7
4.0,13:49,Titans,Jonnu Smith 1 yard pass from Ryan Tannehill (Stephen Gostkowski kick failed),13,7
,9:08,Broncos,Melvin Gordon 1 yard rush (Brandon McManus kick),13,14
,0:17,Titans,Stephen Gostkowski 25 yard field goal,16,14
