Unnamed: 0,TEN,DEN
First Downs,26,19
Rush-Yds-TDs,34-130-0,26-107-1
Cmp-Att-Yd-TD-INT,29-43-249-2-0,22-33-216-1-0
Sacked-Yards,1-2,0-0
Net Pass Yards,247,216
Total Yards,377,323
Fumbles-Lost,0-0,4-1
Turnovers,0,1
Penalties-Yards,5-37,5-56
Third Down Conv.,7-16,3-9
Fourth Down Conv.,1-1,0-1
Time of Possession,32:40,27:20
