Quarter,Time,Down,ToGo,Location,TEN,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 64 yards, returned by Kalif Raymond for 19 yards (tackle by Trey Marshall)",0.000,0.280
1,14:54,1,10,TEN 20,0,0,Ryan Tannehill right end for 11 yards (tackle by Jeremiah Attaochu),0.280,1.000
1,14:22,1,10,TEN 31,0,0,"Penalty on Nate Davis: False Start, 5 yards (no play)",1.000,0.670
1,14:05,1,15,TEN 26,0,0,Ryan Tannehill pass incomplete short left,0.670,-0.220
1,13:58,2,15,TEN 26,0,0,"Penalty on TEN: Delay of Game, 5 yards (no play)",-0.220,-0.890
1,13:58,2,20,TEN 21,0,0,Ryan Tannehill pass complete short right to Jonnu Smith for 22 yards (tackle by Kareem Jackson),-0.890,1.800
1,13:21,1,10,TEN 43,0,0,Derrick Henry right tackle for 4 yards (tackle by Josey Jewell and Jeremiah Attaochu),1.800,1.790
1,12:39,2,6,TEN 47,0,0,Derrick Henry right tackle for 1 yard (tackle by Shelby Harris),1.790,1.220
1,12:00,3,5,TEN 48,0,0,Ryan Tannehill pass incomplete short right intended for A.J. Brown (defended by A.J. Bouye),1.220,-0.190
1,11:55,4,5,TEN 48,0,0,"Brett Kern punts 41 yards, fair catch by Diontae Spencer at DEN-11",-0.190,0.370
1,11:48,1,10,DEN 11,0,0,Melvin Gordon up the middle for 7 yards (tackle by Jadeveon Clowney and Chris Jackson),-0.370,0.000
1,11:12,2,3,DEN 18,0,0,Drew Lock pass complete short right to Noah Fant for 17 yards (tackle by Rashaan Evans and Kevin Byard),0.000,1.270
1,10:29,1,10,DEN 35,0,0,"Drew Lock aborted snap, recovered by Drew Lock at DEN-34 and returned for -1 yards",1.270,0.590
1,9:51,2,11,DEN 34,0,0,Drew Lock pass complete short left to Tim Patrick for 3 yards (tackle by Malcolm Butler),0.590,0.300
1,9:10,3,8,DEN 37,0,0,Drew Lock pass incomplete deep right intended for Jerry Jeudy,0.300,-0.910
1,9:04,4,8,DEN 37,0,0,"Sam Martin punts 51 yards, returned by Kalif Raymond for 11 yards (tackle by Derrek Tuszka). Penalty on Amani Hooker: Offensive Holding, 10 yards",-0.910,0.320
1,8:52,1,10,TEN 13,0,0,Derrick Henry right tackle for 3 yards (tackle by Mike Purcell),-0.320,-0.440
1,8:10,2,7,TEN 16,0,0,Ryan Tannehill pass complete short right to Corey Davis for 16 yards (tackle by Justin Simmons),-0.440,1.070
1,7:49,1,10,TEN 32,0,0,Derrick Henry left end for 10 yards (tackle by Bryce Callahan),1.070,1.730
1,7:21,1,10,TEN 42,0,0,Derrick Henry up the middle for 6 yards (tackle by Mike Purcell),1.730,2.000
1,7:00,2,4,TEN 48,0,0,Ryan Tannehill pass complete short left to Corey Davis for 20 yards (tackle by Justin Simmons),2.000,3.450
1,6:17,1,10,DEN 32,0,0,Derrick Henry left end for 3 yards (tackle by Dre'Mont Jones),3.450,3.310
1,5:37,2,7,DEN 29,0,0,Ryan Tannehill pass incomplete short right,3.310,2.610
1,5:32,3,7,DEN 29,0,0,Ryan Tannehill pass incomplete short middle intended for Jonnu Smith (defended by Michael Ojemudia),2.610,1.500
1,5:27,4,7,DEN 29,0,0,Stephen Gostkowski 47 yard field goal no good,1.500,-1.400
1,5:23,1,10,DEN 37,0,0,Melvin Gordon up the middle for 4 yards (tackle by Harold Landry),1.400,1.400
1,4:40,2,6,DEN 41,0,0,Melvin Gordon right end for 7 yards (tackle by Johnathan Joseph),1.400,2.130
1,4:13,1,10,DEN 48,0,0,Drew Lock pass complete short left to Jerry Jeudy for 12 yards (tackle by Malcolm Butler),2.130,2.920
1,3:39,1,10,TEN 40,0,0,Phillip Lindsay left guard for no gain (tackle by Jadeveon Clowney),2.920,2.370
1,3:09,2,10,TEN 40,0,0,Drew Lock pass complete short middle to Noah Fant for 8 yards (tackle by Harold Landry),2.370,2.740
1,2:33,3,2,TEN 32,0,0,Drew Lock right end for 3 yards (tackle by Kristian Fulton),2.740,3.640
1,2:01,1,10,TEN 29,0,0,Drew Lock pass complete short right to Nick Vannett for -6 yards (tackle by Jayon Brown),3.640,2.290
1,1:25,2,16,TEN 35,0,0,"Phillip Lindsay up the middle for 10 yards (tackle by Kristian Fulton). Penalty on Rashaan Evans: Disqualification, 13 yards",2.290,4.780
1,1:07,1,10,TEN 12,0,0,Melvin Gordon right tackle for 3 yards (tackle by Kamalei Correa),4.780,4.640
1,0:33,2,7,TEN 9,0,6,"Drew Lock pass complete short middle to Noah Fant for 9 yards, touchdown, touchdown. Penalty on Kenny Vaccaro: Defensive Holding (Declined)",4.640,7.000
1,0:26,,,TEN 15,0,7,Brandon McManus kicks extra point good,0.000,0.000
1,0:26,,,DEN 35,0,7,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
1,0:26,1,10,TEN 25,0,7,Derrick Henry left tackle for 2 yards (tackle by Alexander Johnson and Jurrell Casey),0.610,0.330
Quarter,Time,Down,ToGo,Location,TEN,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,TEN 27,0,7,Ryan Tannehill pass complete short left to Derrick Henry for 4 yards (tackle by Alexander Johnson and Jurrell Casey),0.330,0.170
2,14:15,3,4,TEN 31,0,7,Ryan Tannehill pass incomplete short right intended for Kalif Raymond,0.170,-1.310
2,14:10,4,4,TEN 31,0,7,"Brett Kern punts 66 yards, returned by Diontae Spencer for 9 yards (tackle by Amani Hooker). Penalty on P.J. Locke: Illegal Block Above the Waist, 6 yards",-1.310,0.380
2,13:55,1,10,DEN 6,0,7,Phillip Lindsay up the middle for 6 yards (tackle by Kristian Fulton and Jayon Brown),-0.380,-0.340
2,13:16,2,4,DEN 12,0,7,Phillip Lindsay right guard for 3 yards (tackle by Kenny Vaccaro),-0.340,-0.370
2,12:33,3,1,DEN 15,0,7,Drew Lock pass complete short right to Tim Patrick for 6 yards (tackle by Harold Landry),-0.370,0.340
2,11:51,1,10,DEN 21,0,7,"Drew Lock pass complete short right to Melvin Gordon for 2 yards (tackle by Kevin Byard). Melvin Gordon fumbles (forced by Kevin Byard), recovered by Jeffery Simmons at DEN-23",0.340,-4.040
2,11:44,1,10,DEN 23,0,7,Derrick Henry left end for no gain (tackle by Alexander Johnson),4.040,3.500
2,11:15,2,10,DEN 23,0,7,Ryan Tannehill pass complete short left to Jonnu Smith for 5 yards (tackle by Alexander Johnson),3.500,3.490
2,10:37,3,5,DEN 18,0,7,"Penalty on Dre'Mont Jones: Neutral Zone Infraction, 4 yards (no play)",3.490,4.280
2,10:25,3,1,DEN 14,0,7,Derrick Henry right end for 11 yards (tackle by Kareem Jackson),4.280,6.510
2,10:07,1,3,DEN 3,0,7,Derrick Henry up the middle for 2 yards (tackle by Alexander Johnson),6.510,5.910
2,9:27,2,1,DEN 1,6,7,"Ryan Tannehill pass complete short right to MyCole Pruitt for 1 yard, touchdown",5.910,7.000
2,9:21,,,DEN 15,7,7,Stephen Gostkowski kicks extra point good,0.000,0.000
2,9:21,,,TEN 35,7,7,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
2,9:21,1,10,DEN 25,7,7,Phillip Lindsay left guard for 3 yards (tackle by DaQuan Jones),0.610,0.470
2,8:45,2,7,DEN 28,7,7,Drew Lock pass complete short middle to Noah Fant for 16 yards (tackle by Kevin Byard),0.470,1.860
2,8:11,1,10,DEN 44,7,7,Phillip Lindsay up the middle for 1 yard (tackle by Jeffery Simmons),1.860,1.450
2,7:28,2,9,DEN 45,7,7,Drew Lock pass incomplete short middle intended for Jake Butt,1.450,0.760
2,7:23,3,9,DEN 45,7,7,Drew Lock pass complete short right to Noah Fant for 31 yards (tackle by Kevin Byard),0.760,3.970
2,6:52,1,10,TEN 24,7,7,Melvin Gordon right end for 9 yards (tackle by Kevin Byard),3.970,4.850
2,6:22,2,1,TEN 15,7,7,"Drew Lock for 2 yards. Drew Lock fumbles, recovered by Drew Lock at TEN-20",4.850,4.710
2,5:37,1,10,TEN 13,7,7,Drew Lock pass complete short middle to Phillip Lindsay for 11 yards (tackle by Jayon Brown),4.710,6.740
2,4:51,1,2,TEN 2,7,7,Phillip Lindsay up the middle for 1 yard (tackle by William Compton and Jeffery Simmons),6.740,5.910
2,4:11,2,1,TEN 1,7,7,Drew Lock pass incomplete short left intended for Nick Vannett,5.910,5.170
2,4:06,3,1,TEN 1,7,7,Melvin Gordon left guard for no gain (tackle by Nick Dzubnar),5.170,3.550
2,3:25,4,1,TEN 1,7,7,Drew Lock pass complete short middle to Jake Butt for no gain (tackle by Jeffery Simmons),3.550,0.380
2,3:17,1,10,TEN 1,7,7,Derrick Henry left end for 3 yards (tackle by Bryce Callahan),-0.380,-0.560
2,2:53,2,7,TEN 4,7,7,Ryan Tannehill pass complete short middle to Corey Davis for 23 yards (tackle by Kareem Jackson),-0.560,0.740
2,2:18,1,10,TEN 27,7,7,Derrick Henry left tackle for 3 yards (tackle by Shelby Harris),0.740,0.600
2,2:00,2,7,TEN 30,7,7,Derrick Henry left tackle for 2 yards (tackle by Kareem Jackson),0.600,0.170
2,1:17,3,5,TEN 32,7,7,Ryan Tannehill pass complete short right to Adam Humphries for 10 yards (tackle by Bryce Callahan),0.170,1.730
2,0:58,1,10,TEN 42,7,7,Ryan Tannehill pass complete short right to Corey Davis for 13 yards,1.730,2.590
2,0:53,,,,,,Timeout #1 by Denver Broncos,,
2,0:53,1,10,DEN 45,7,7,Ryan Tannehill pass complete short middle to Adam Humphries for 9 yards (tackle by Alexander Johnson),2.590,3.260
2,0:48,,,,,,Timeout #1 by Tennessee Titans,,
2,0:48,2,1,DEN 36,7,7,Ryan Tannehill pass complete short left to A.J. Brown for 12 yards (tackle by Bryce Callahan),3.260,3.970
2,0:27,1,10,DEN 24,7,7,Ryan Tannehill pass incomplete short middle intended for Jeremy McNichols (defended by Jurrell Casey),3.970,3.430
2,0:22,2,10,DEN 24,7,7,Ryan Tannehill sacked by Jeremiah Attaochu for -2 yards,3.430,2.480
2,0:16,,,,,,Timeout #2 by Tennessee Titans,,
2,0:16,3,12,DEN 26,7,7,Ryan Tannehill pass incomplete short middle intended for Kalif Raymond,2.480,1.740
2,0:12,4,12,DEN 26,7,7,Stephen Gostkowski 44 yard field goal no good,1.740,-1.200
2,0:08,1,10,DEN 34,7,7,Drew Lock pass complete short right to Melvin Gordon for 8 yards (tackle by Jeffery Simmons),1.200,1.740
2,0:02,,,,,,Timeout #2 by Denver Broncos,,
2,0:02,2,2,DEN 42,7,7,"Drew Lock pass complete short right to Jerry Jeudy for 25 yards (tackle by Joshua Kalu). Jerry Jeudy fumbles, ball out of bounds at TEN-33 (forced by Joshua Kalu)",1.740,3.380
Quarter,Time,Down,ToGo,Location,TEN,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,7,7,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DEN 25,7,7,Drew Lock pass incomplete deep right intended for Tim Patrick,0.610,0.060
3,14:54,2,10,DEN 25,7,7,Drew Lock pass complete short right to Tyrie Cleveland for 7 yards (tackle by William Compton),0.060,0.300
3,14:17,3,3,DEN 32,7,7,Drew Lock pass incomplete short middle intended for Jerry Jeudy,0.300,-1.240
3,14:11,4,3,DEN 32,7,7,"Sam Martin punts 56 yards, returned by Kalif Raymond for 9 yards (tackle by Trey Marshall)",-1.240,-0.340
3,13:59,1,10,TEN 21,7,7,Ryan Tannehill pass complete short right to A.J. Brown for 4 yards (tackle by Justin Simmons and Bryce Callahan),0.340,0.340
3,13:27,2,6,TEN 25,7,7,Derrick Henry right end for 5 yards (tackle by Jeremiah Attaochu),0.340,0.300
3,13:06,3,1,TEN 30,7,7,Ryan Tannehill up the middle for 3 yards (tackle by Mike Purcell),0.300,1.140
3,12:29,1,10,TEN 33,7,7,Derrick Henry left tackle for 1 yard (tackle by Shelby Harris),1.140,0.730
3,12:07,2,9,TEN 34,7,7,"Ryan Tannehill pass deep left is intercepted by Michael Ojemudia at DEN-37 and returned for no gain. Penalty on Alexander Johnson: Unnecessary Roughness, 15 yards (no play)",0.730,2.190
3,12:00,1,10,TEN 49,7,7,Derrick Henry up the middle for no gain (tackle by Josey Jewell),2.190,1.650
3,11:27,2,10,TEN 49,7,7,Ryan Tannehill pass complete short left to Adam Humphries for 7 yards (tackle by Justin Simmons),1.650,1.880
3,10:54,3,3,DEN 44,7,7,Ryan Tannehill pass complete short left to A.J. Brown for 5 yards (tackle by Michael Ojemudia),1.880,2.980
3,10:30,1,10,DEN 39,7,7,Ryan Tannehill pass complete short left to A.J. Brown for 7 yards (tackle by Kareem Jackson and Shelby Harris),2.980,3.390
3,9:57,2,3,DEN 32,7,7,Derrick Henry right tackle for 2 yards (tackle by Malik Reed and Josey Jewell),3.390,2.940
3,9:12,3,1,DEN 30,7,7,Ryan Tannehill pass complete short right to Anthony Firkser for 6 yards (tackle by Malik Reed),2.940,3.970
3,8:51,1,10,DEN 24,7,7,Ryan Tannehill pass complete short left to Anthony Firkser for -1 yards (tackle by Essang Bassey),3.970,3.300
3,8:12,2,11,DEN 25,7,7,Derrick Henry up the middle for 1 yard (tackle by Dre'Mont Jones),3.300,2.740
3,7:38,3,10,DEN 24,7,7,Ryan Tannehill pass incomplete short middle intended for Adam Humphries (defended by Jurrell Casey),2.740,1.870
3,7:32,4,10,DEN 24,7,7,Stephen Gostkowski 42 yard field goal no good,1.870,-1.070
3,7:28,1,10,DEN 32,7,7,Melvin Gordon left end for -2 yards (tackle by David Long),1.070,0.260
3,6:51,2,12,DEN 30,7,7,Drew Lock pass complete short left to Melvin Gordon for -2 yards (tackle by Kenny Vaccaro),0.260,-0.690
3,6:13,3,14,DEN 28,7,7,Drew Lock pass incomplete deep left intended for Jerry Jeudy (defended by Kenny Vaccaro),-0.690,-1.500
3,6:06,4,14,DEN 28,7,7,"Sam Martin punts 53 yards, returned by Kalif Raymond for -1 yards (tackle by Malik Reed)",-1.500,-0.040
