Quarter,Time,Tm,Detail,SEA,LAR
1.0,5:20,Seahawks,D.K. Metcalf 8 yard pass from Geno Smith (Jason Myers kick),7,0
2.0,8:26,Seahawks,Jason Myers 54 yard field goal,10,0
,4:48,Seahawks,Jason Myers 43 yard field goal,13,0
,0:09,Rams,Puka Nacua 4 yard pass from Matthew Stafford (Lucas Havrisik kick),13,7
3.0,8:03,Seahawks,Jason Myers 52 yard field goal,16,7
4.0,7:38,Rams,Darrell Henderson 1 yard rush (Lucas Havrisik kick),16,14
,1:31,Rams,Lucas Havrisik 22 yard field goal,16,17
