Unnamed: 0,SEA,LAR
First Downs,16,20
Rush-Yds-TDs,21-68-0,27-82-1
Cmp-Att-Yd-TD-INT,24-40-236-1-1,17-31-190-1-1
Sacked-Yards,2-13,1-5
Net Pass Yards,223,185
Total Yards,291,267
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,12-130,9-92
Third Down Conv.,5-15,2-9
Fourth Down Conv.,2-2,0-1
Time of Possession,32:06,27:54
