Quarter,Time,Down,ToGo,Location,DAL,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Ryan Longwell kicks off 69 yards, returned by Quincy Morgan for 19 yards (tackle by Paris Lenon)",0.000,0.280
1,14:55,1,10,DAL 20,0,0,Vinny Testaverde pass complete to Eddie George for 10 yards (tackle by Na'il Diggs),0.280,0.940
1,14:15,1,10,DAL 30,0,0,Eddie George up the middle for 7 yards (tackle by Nick Barnett and Kabeer Gbaja-Biamila),0.940,1.340
1,13:33,2,3,DAL 37,0,0,Richie Anderson right end for -1 yards (tackle by Grady Jackson),1.340,0.500
1,12:49,3,4,DAL 36,0,0,Vinny Testaverde pass complete to Keyshawn Johnson for 5 yards (tackle by Ahmad Carroll),0.500,1.660
1,12:12,1,10,DAL 41,0,0,Eddie George left end for 6 yards (tackle by Hannibal Navies and Mark Roman),1.660,1.930
1,11:36,2,4,DAL 47,0,0,Vinny Testaverde pass incomplete intended for Terry Glenn,1.930,1.220
1,11:32,3,4,DAL 47,0,0,Vinny Testaverde pass complete to Richie Anderson for 13 yards (tackle by Nick Barnett),1.220,2.920
1,11:05,1,10,GNB 40,0,0,Eddie George up the middle for no gain (tackle by Na'il Diggs),2.920,2.370
1,10:24,2,10,GNB 40,0,0,Vinny Testaverde pass complete to Keyshawn Johnson for 12 yards (tackle by Al Harris),2.370,3.710
1,9:47,1,10,GNB 28,0,0,Vinny Testaverde pass incomplete intended for ReShard Lee (defended by Darren Sharper),3.710,3.170
1,9:43,2,10,GNB 28,0,0,Vinny Testaverde pass complete to Terry Glenn for 6 yards (tackle by Ahmad Carroll),3.170,3.270
1,9:00,3,4,GNB 22,0,0,Vinny Testaverde sacked by Mark Roman for -5 yards,3.270,1.670
1,8:37,4,9,GNB 27,3,0,Billy Cundiff 46 yard field goal good,1.670,3.000
1,,,,DAL 30,3,0,"Billy Cundiff kicks off 55 yards, returned by Najeh Davenport for 24 yards (tackle by Randal Williams)",0.000,1.530
1,8:26,1,10,GNB 39,3,0,Ahman Green right guard for 4 yards (tackle by Randal Williams),1.530,1.530
1,7:45,2,6,GNB 43,3,0,Ahman Green right end for 3 yards (tackle by Dat Nguyen and Greg Ellis),1.530,1.220
1,7:00,3,3,GNB 46,3,0,Brett Favre pass complete to Javon Walker for 44 yards (tackle by Terence Newman),1.220,4.910
1,6:11,1,10,DAL 10,3,0,Brett Favre pass incomplete intended for Donald Driver,4.910,4.190
1,6:06,2,10,DAL 10,3,0,Ahman Green left end for 2 yards (tackle by Randal Williams),4.190,3.580
1,5:24,3,8,DAL 8,3,0,Brett Favre pass incomplete intended for William Henderson (defended by Greg Ellis),3.580,2.950
1,5:20,4,8,DAL 8,3,3,Ryan Longwell 26 yard field goal good,2.950,3.000
1,,,,GNB 30,3,3,"Ryan Longwell kicks off 70 yards, touchback",0.000,0.280
1,5:17,1,10,DAL 20,3,3,Eddie George right tackle for 1 yard (tackle by Grady Jackson and Nick Barnett),0.280,-0.130
1,4:34,2,9,DAL 21,3,3,Richie Anderson left tackle for 1 yard (tackle by Nick Barnett),-0.130,-0.690
1,3:47,3,8,DAL 22,3,3,Vinny Testaverde pass complete to Quincy Morgan for 53 yards (tackle by Darren Sharper),-0.690,3.910
1,2:54,1,10,GNB 25,3,3,Terry Glenn pass incomplete intended for Keyshawn Johnson (defended by Darren Sharper),3.910,3.360
1,2:47,2,10,GNB 25,3,3,Vinny Testaverde pass complete to Quincy Morgan for 9 yards (tackle by Mark Roman),3.360,4.060
1,2:47,3,1,GNB 16,3,3,"Penalty on Cletidus Hunt: Encroachment, 5 yards (no play)",4.060,4.840
1,1:45,1,10,GNB 11,3,3,Vinny Testaverde pass incomplete intended for Keyshawn Johnson (defended by Al Harris),4.840,4.140
1,1:41,2,10,GNB 11,3,3,Vinny Testaverde pass incomplete intended for Jason Witten,4.140,3.130
1,1:37,3,10,GNB 11,3,3,Vinny Testaverde pass complete to Dedric Ward for 5 yards (tackle by Bhawoh Jue),3.130,2.990
1,0:59,4,5,GNB 6,6,3,Billy Cundiff 24 yard field goal good,2.990,3.000
1,,,,DAL 30,6,3,"Billy Cundiff kicks off 60 yards, returned by Najeh Davenport for 27 yards (tackle by Kalen Thornton). Najeh Davenport fumbles (forced by Kalen Thornton), recovered by Torrance Marshall at GNB-43",0.000,1.800
1,0:46,1,10,GNB 43,6,3,Brett Favre pass complete to David Martin for 6 yards (tackle by Terence Newman),1.800,2.060
1,0:24,2,4,GNB 49,6,3,Ahman Green right tackle for 3 yards (tackle by Tyrone Williams),2.060,1.750
Quarter,Time,Down,ToGo,Location,DAL,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,DAL 48,6,3,Ahman Green left tackle for 32 yards (tackle by Terence Newman),1.750,4.510
2,14:29,1,10,DAL 16,6,3,Brett Favre pass complete to Najeh Davenport for 12 yards (tackle by Dexter Coakley),4.510,6.280
2,13:59,1,4,DAL 4,6,3,Najeh Davenport up the middle for 3 yards (tackle by La'Roi Glover and Randal Williams),6.280,5.910
2,13:20,,,,6,3,Timeout #1 by Green Bay Packers,0.000,5.910
2,13:20,2,1,DAL 1,6,9,"Ahman Green up the middle for 1 yard, touchdown",5.910,7.000
2,,,,DAL 2,6,10,Ryan Longwell kicks extra point good,0.000,0.000
2,,,,GNB 30,6,10,"Ryan Longwell kicks off 63 yards, returned by Quincy Morgan for 6 yards (tackle by Jason Horton)",0.000,-0.320
2,13:11,1,10,DAL 13,6,10,Vinny Testaverde pass incomplete intended for Keyshawn Johnson (defended by Al Harris),-0.320,-0.770
2,13:08,2,10,DAL 13,6,10,Vinny Testaverde pass incomplete intended for Dedric Ward. Penalty on Dedric Ward: Offensive Pass Interference (Declined),-0.770,-1.420
2,13:05,3,10,DAL 13,6,10,Vinny Testaverde pass complete to Keyshawn Johnson for 29 yards (tackle by Ahmad Carroll),-1.420,1.730
2,12:18,1,10,DAL 42,6,10,Vinny Testaverde pass complete to ReShard Lee for 4 yards (tackle by Hannibal Navies),1.730,1.730
2,11:34,2,6,DAL 46,6,10,Vinny Testaverde pass complete to Jason Witten for 2 yards (tackle by Bhawoh Jue),1.730,1.290
2,11:03,3,4,DAL 48,6,10,"Vinny Testaverde pass incomplete intended for Quincy Morgan (defended by Grady Jackson). Penalty on Vinny Testaverde: Delay of Game, 5 yards (no play)",1.290,0.630
2,10:39,3,9,DAL 43,6,10,Vinny Testaverde pass incomplete intended for Richie Anderson,0.630,-0.520
2,10:35,4,9,DAL 43,6,10,"Mat McBriar punts 36 yards, fair catch by Antonio Chatman",-0.520,-0.340
2,10:29,1,10,GNB 21,6,10,Ahman Green left end for -1 yards (tackle by Randal Williams),0.340,-0.340
2,9:48,2,11,GNB 20,6,10,Brett Favre pass complete to Najeh Davenport for 8 yards (tackle by Bradie James),-0.340,0.040
