Quarter,Time,Tm,Detail,DAL,LAR
1.0,13:27,Cowboys,DeMarcus Lawrence 19 yard fumble return (run failed),6,0
,8:43,Cowboys,Brett Maher 33 yard field goal,9,0
,5:22,Rams,Matt Gay 29 yard field goal,9,3
2.0,9:31,Rams,Cooper Kupp 75 yard pass from Matthew Stafford (Matt Gay kick),9,10
,7:59,Cowboys,Tony Pollard 57 yard rush (Brett Maher kick),16,10
3.0,8:11,Cowboys,Brett Maher 40 yard field goal,19,10
4.0,5:32,Cowboys,Brett Maher 36 yard field goal,22,10
