Unnamed: 0,DAL,LAR
First Downs,10,14
Rush-Yds-TDs,34-163-1,15-38-0
Cmp-Att-Yd-TD-INT,10-16-102-0-0,29-44-320-1-1
Sacked-Yards,3-26,5-35
Net Pass Yards,76,285
Total Yards,239,323
Fumbles-Lost,2-0,2-2
Turnovers,0,3
Penalties-Yards,5-42,3-25
Third Down Conv.,5-15,6-17
Fourth Down Conv.,0-0,1-1
Time of Possession,29:30,30:30
