Quarter,Time,Down,ToGo,Location,DAL,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAR 25,0,0,Matthew Stafford pass complete short left to Cooper Kupp for 3 yards (tackle by Trevon Diggs),0.610,0.470
1,14:21,2,7,LAR 28,0,0,Matthew Stafford pass complete short left to Cooper Kupp for 6 yards (tackle by Donovan Wilson and Leighton Vander Esch),0.470,0.560
1,13:36,3,1,LAR 34,6,0,"Matthew Stafford sacked by Dorance Armstrong for -11 yards. Matthew Stafford fumbles (forced by Dorance Armstrong), recovered by DeMarcus Lawrence at LA-19 and returned for 19 yards, touchdown",0.560,-7.000
1,13:27,,,LAR 2,6,0,"Two Point Attempt: Brett Maher rushes, conversion fails.",1.000,-1.000
1,13:27,,,DAL 35,6,0,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
1,13:27,1,10,LAR 25,6,0,Cam Akers up the middle for 4 yards (tackle by Leighton Vander Esch),0.610,0.540
1,12:48,2,7,LAR 29,6,0,Cam Akers up the middle for 9 yards (tackle by Donovan Wilson and Micah Parsons),0.540,1.470
1,12:07,1,10,LAR 38,6,0,Brandon Powell up the middle for 1 yard (tackle by Donovan Wilson),1.470,1.060
1,11:21,2,9,LAR 39,6,0,Matthew Stafford pass complete short middle to Allen Robinson for 6 yards (tackle by Jourdan Lewis),1.060,1.160
1,10:37,3,3,LAR 45,6,0,Matthew Stafford pass complete short right to Tyler Higbee for 9 yards (tackle by Jayron Kearse),1.160,2.520
1,9:56,1,10,DAL 46,6,0,Matthew Stafford pass incomplete short left intended for Cooper Kupp,2.520,1.980
1,9:52,2,10,DAL 46,6,0,Matthew Stafford pass incomplete short right intended for Cooper Kupp,1.980,1.290
1,9:49,3,10,DAL 46,6,0,Matthew Stafford pass incomplete deep left intended for Tutu Atwell,1.290,0.200
1,9:42,4,10,DAL 46,6,0,Riley Dixon punts blocked by Dorance Armstrong (tackle by Matthew Orzech),0.200,-4.240
1,9:34,1,10,LAR 20,6,0,Ezekiel Elliott right tackle for 5 yards (tackle by Aaron Donald and Bobby Wagner),4.240,4.450
1,8:54,2,5,LAR 15,6,0,Cooper Rush pass incomplete short right intended for CeeDee Lamb,4.450,3.700
1,8:51,,,,,,Timeout #1 by Dallas Cowboys,,
1,8:51,3,5,LAR 15,6,0,Cooper Rush pass incomplete short right intended for Dalton Schultz,3.700,2.490
1,8:47,4,5,LAR 15,9,0,Brett Maher 33 yard field goal good,2.490,3.000
1,8:43,,,DAL 35,9,0,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
1,8:43,1,10,LAR 25,9,0,Cam Akers right tackle for 3 yards (tackle by DeMarcus Lawrence),0.610,0.470
1,8:02,2,7,LAR 28,9,0,Cam Akers right tackle for 2 yards (tackle by Neville Gallimore),0.470,0.040
1,7:23,3,5,LAR 30,9,0,"Penalty on Micah Parsons: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.040,1.270
1,7:07,1,10,LAR 35,9,0,Matthew Stafford pass complete deep middle to Tutu Atwell for 54 yards (tackle by Trevon Diggs),1.270,4.840
1,6:14,1,10,DAL 11,9,0,Cam Akers right tackle for 1 yard (tackle by Anthony Brown),4.840,4.320
1,5:34,2,9,DAL 10,9,0,Matthew Stafford pass incomplete short left,4.320,3.300
1,5:28,3,9,DAL 10,9,0,Matthew Stafford pass incomplete short left intended for Allen Robinson,3.300,2.760
1,5:25,4,9,DAL 10,9,3,Matt Gay 29 yard field goal good,2.760,3.000
1,5:22,,,LAR 35,9,3,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,5:22,1,10,DAL 25,9,3,Ezekiel Elliott up the middle for 4 yards (tackle by Aaron Donald and A'Shawn Robinson),0.610,0.600
1,4:46,2,6,DAL 29,9,3,Cooper Rush pass complete short middle to Noah Brown for 5 yards (tackle by Ernest Jones),0.600,0.560
1,4:10,3,1,DAL 34,9,3,Ezekiel Elliott left guard for 9 yards (tackle by Terrell Burgess and Derion Kendrick),0.560,1.800
1,3:35,1,10,DAL 43,9,3,Ezekiel Elliott left tackle for 1 yard (tackle by A'Shawn Robinson),1.800,1.390
1,2:57,2,9,DAL 44,9,3,Cooper Rush pass complete short left to CeeDee Lamb for 4 yards (tackle by Ernest Jones),1.390,1.220
1,2:18,3,5,DAL 48,9,3,"Cooper Rush sacked by Aaron Donald for -9 yards. Cooper Rush fumbles (forced by Aaron Donald), recovered by Tyler Smith at DAL-39. Penalty on Tyron Smith: Offensive Holding, 10 yards (declined)",1.220,-0.780
1,2:09,4,14,DAL 39,9,3,"Bryan Anger punts 51 yards, returned by Brandon Powell for no gain. Penalty on Brandon Powell: Unnecessary Roughness / Offense, 5 yards (accepted)",-0.780,0.380
1,2:00,1,10,LAR 5,9,3,Cam Akers up the middle for 4 yards (tackle by Neville Gallimore),-0.380,-0.490
1,1:20,2,6,LAR 9,9,3,Cam Akers right tackle for 5 yards (tackle by Dorance Armstrong and Anthony Barr),-0.490,-0.370
1,0:35,3,1,LAR 14,9,3,Cam Akers right end for 13 yards (tackle by Leighton Vander Esch),-0.370,0.740
Quarter,Time,Down,ToGo,Location,DAL,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAR 27,9,3,Cam Akers right tackle for -3 yards (tackle by Sam Williams),0.740,-0.280
2,14:15,2,14,LAR 24,9,3,Cam Akers right end for -4 yards (tackle by Trysten Hill),-0.280,-1.420
2,13:40,3,17,LAR 20,9,3,Matthew Stafford pass complete short left to Ben Skowronek for 12 yards (tackle by DeMarcus Lawrence),-1.420,-1.240
2,13:01,4,4,LAR 32,9,3,"Riley Dixon punts 42 yards, fair catch by KaVontae Turpin at DAL-26",-1.240,-0.670
2,12:54,1,10,DAL 26,9,3,Cooper Rush pass complete short right to Michael Gallup for 11 yards (tackle by Derion Kendrick),0.670,1.400
2,12:18,1,10,DAL 37,9,3,Ezekiel Elliott left tackle for 5 yards (tackle by A'Shawn Robinson),1.400,1.530
2,11:44,2,5,DAL 42,9,3,Ezekiel Elliott right guard for 3 yards (tackle by Ernest Jones and Bobby Wagner),1.530,1.220
2,11:14,3,2,DAL 45,9,3,Cooper Rush pass incomplete short left intended for Michael Gallup,1.220,-0.390
2,11:07,4,2,DAL 45,9,3,"Bryan Anger punts 38 yards, fair catch by Brandon Powell at LA-17",-0.390,0.060
2,11:00,1,10,LAR 17,9,3,Cooper Kupp right end for 4 yards (tackle by Micah Parsons),-0.060,0.080
2,10:24,2,6,LAR 21,9,3,Matthew Stafford pass complete short left to Darrell Henderson for 4 yards (tackle by Leighton Vander Esch),0.080,-0.240
2,9:42,3,2,LAR 25,9,9,"Matthew Stafford pass complete short right to Cooper Kupp for 75 yards, touchdown",-0.240,7.000
2,9:31,,,DAL 15,9,10,Matt Gay kicks extra point good,0.000,0.000
2,9:31,,,LAR 35,9,10,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
2,9:31,1,10,DAL 25,9,10,Tony Pollard right tackle for 2 yards (tackle by Aaron Donald and A'Shawn Robinson),0.610,0.330
2,8:49,2,8,DAL 27,9,10,Cooper Rush pass complete short middle to CeeDee Lamb for 16 yards (tackle by Terrell Burgess),0.330,1.800
2,8:10,1,10,DAL 43,15,10,"Tony Pollard right tackle for 57 yards, touchdown",1.800,7.000
2,7:59,,,LAR 15,16,10,Brett Maher kicks extra point good,0.000,0.000
2,7:59,,,DAL 35,16,10,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
2,7:59,1,10,LAR 25,16,10,Cam Akers left end for -3 yards (tackle by Osa Odighizuwa),0.610,-0.340
2,7:16,2,13,LAR 22,16,10,Matthew Stafford pass incomplete short left intended for Tyler Higbee,-0.340,-1.020
2,7:11,3,13,LAR 22,16,10,Matthew Stafford pass complete short right to Ben Skowronek for 6 yards (tackle by Anthony Barr),-1.020,-1.500
2,6:34,4,7,LAR 28,16,10,"Riley Dixon punts 49 yards, fair catch by KaVontae Turpin at DAL-23",-1.500,-0.480
2,6:27,1,10,DAL 23,16,10,Ezekiel Elliott left end for 12 yards (tackle by Terrell Burgess),0.480,1.270
2,5:56,1,10,DAL 35,16,10,Ezekiel Elliott left tackle for 4 yards (tackle by Marquise Copeland and Terrell Burgess),1.270,1.330
2,5:22,2,5,DAL 39,16,10,"Ezekiel Elliott left tackle for 1 yard (tackle by Terrell Burgess). Penalty on Tyler Smith: Offensive Holding, 10 yards (accepted) (no play)",1.330,-0.090
2,5:02,2,16,DAL 29,16,10,Cooper Rush sacked by Aaron Donald for -9 yards,-0.090,-1.950
2,4:16,3,25,DAL 20,16,10,Cooper Rush pass complete short middle to CeeDee Lamb for 13 yards (tackle by Bobby Wagner),-1.950,-1.180
2,3:30,4,12,DAL 33,16,10,"Bryan Anger punts 67 yards, touchback.",-1.180,-0.280
2,3:21,1,10,LAR 20,16,10,Matthew Stafford pass incomplete short right intended for Tyler Higbee (defended by Sam Williams),0.280,-0.270
2,3:17,2,10,LAR 20,16,10,Matthew Stafford pass complete short right to Tyler Higbee for 5 yards (tackle by Donovan Wilson),-0.270,-0.300
2,2:33,3,5,LAR 25,16,10,Matthew Stafford pass incomplete short right intended for Ben Skowronek,-0.300,-1.700
2,2:29,4,5,LAR 25,16,10,Riley Dixon pass complete short middle to Jake Gervase for 12 yards (tackle by Luke Gifford),-1.700,1.400
2,2:00,1,10,LAR 37,16,10,Matthew Stafford pass incomplete short right,1.400,0.860
2,1:52,2,10,LAR 37,16,10,Matthew Stafford pass complete short left to Tyler Higbee for 5 yards (tackle by Anthony Barr),0.860,0.830
2,1:09,3,5,LAR 42,16,10,Matthew Stafford pass complete short middle to Ben Skowronek for 8 yards (tackle by Anthony Barr),0.830,2.260
2,0:44,1,10,LAR 50,16,10,Matthew Stafford pass complete short right to Ben Skowronek for 6 yards (tackle by Anthony Brown and Malik Hooker),2.260,2.460
2,0:37,,,,,,Timeout #1 by Los Angeles Rams,,
2,0:37,2,5,DAL 44,16,10,Matthew Stafford pass incomplete short right intended for Tyler Higbee,2.460,1.750
2,0:34,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:34,3,5,DAL 44,16,10,Matthew Stafford pass incomplete deep right intended for Darrell Henderson,1.750,0.330
2,0:29,4,5,DAL 44,16,10,"Riley Dixon punts 32 yards, fair catch by KaVontae Turpin at DAL-12",0.330,0.350
2,0:23,1,10,DAL 12,16,10,Ezekiel Elliott up the middle for 4 yards (tackle by Bobby Wagner and Terrell Lewis),-0.350,-0.370
Quarter,Time,Down,ToGo,Location,DAL,LAR,Detail,EPB,EPA
