Unnamed: 0,ATL,NOR
First Downs,15,17
Rush-Yds-TDs,24-93-1,40-160-1
Cmp-Att-Yd-TD-INT,17-41-188-0-2,12-24-227-1-2
Sacked-Yards,3-14,4-18
Net Pass Yards,174,209
Total Yards,267,369
Fumbles-Lost,2-1,0-0
Turnovers,3,2
Penalties-Yards,6-35,10-73
Third Down Conv.,6-16,5-15
Fourth Down Conv.,0-0,1-1
Time of Possession,26:55,33:05
