Quarter,Time,Down,ToGo,Location,MIN,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Rian Lindell kicks off 75 yards, touchback",0.000,0.280
1,15:00,1,10,MIN 20,0,0,Chester Taylor middle for -2 yards (tackle by Keith Ellison and Chris Kelsay),0.280,-0.630
1,14:22,2,12,MIN 18,0,0,"Chester Taylor right tackle for 6 yards (tackle by Keith Ellison and Aaron Schobel). Penalty on Tim Anderson: Defensive Offside, 5 yards (no play)",-0.630,0.140
1,13:54,2,7,MIN 23,0,0,Travis Taylor left end for 5 yards,0.140,0.100
1,13:09,3,2,MIN 28,0,0,Brad Johnson pass complete short right to Marcus Robinson for 12 yards (tackle by Nate Clements). Penalty on Nate Clements: Defensive Holding (Declined),0.100,1.600
1,12:50,1,10,MIN 40,0,0,Brad Johnson pass incomplete short right intended for Travis Taylor,1.600,1.050
1,12:46,2,10,MIN 40,0,0,Brad Johnson pass incomplete deep left intended for Troy Williamson,1.050,0.370
1,12:39,3,10,MIN 40,0,0,Brad Johnson pass complete short right to Tony Richardson for 25 yards (tackle by Donte Whitner),0.370,3.250
1,11:54,1,10,BUF 35,0,0,Brad Johnson pass incomplete short middle intended for Travis Taylor (defended by Nate Clements),3.250,2.700
1,11:50,2,10,BUF 35,0,0,Brad Johnson pass complete short left to Troy Williamson for 11 yards (tackle by Nate Clements and Ryan Denney),2.700,3.970
1,11:09,1,10,BUF 24,0,0,Chester Taylor middle for 5 yards (tackle by Donte Whitner and Aaron Schobel),3.970,4.120
1,10:29,2,5,BUF 19,0,0,Chester Taylor left guard for 1 yard (tackle by Angelo Crowell and Larry Tripplett),4.120,3.570
1,9:50,3,4,BUF 18,0,0,"Brad Johnson pass complete short right to Travis Taylor for 5 yards (tackle by Keith Ellison). Penalty on Travis Taylor: Offensive Pass Interfere, 10 yards (no play)",3.570,2.210
1,9:22,3,14,BUF 28,0,0,Mewelde Moore left tackle for 9 yards (tackle by Donte Whitner and Tim Anderson),2.210,2.240
1,8:44,4,5,BUF 19,3,0,Ryan Longwell 37 yard field goal good,2.240,3.000
1,,,,MIN 30,3,0,"Ryan Longwell kicks off 58 yards, returned by Terrence McGee for 13 yards (tackle by Cedric Griffin)",0.000,0.610
1,8:33,1,10,BUF 25,3,0,"Penalty on Daimon Shelton: False Start, 5 yards (no play)",0.610,0.280
1,8:33,1,15,BUF 20,3,0,Willis McGahee middle for 2 yards (tackle by Pat Williams and Napoleon Harris),0.280,-0.340
1,7:51,2,13,BUF 22,3,0,J.P. Losman pass incomplete short right intended for Robert Royal,-0.340,-1.020
1,7:46,3,13,BUF 22,3,0,J.P. Losman pass complete short right to Josh Reed for 3 yards (tackle by Darren Sharper),-1.020,-1.700
1,7:09,4,10,BUF 25,3,0,Brian Moorman punts 65 yards,-1.700,-0.670
1,6:54,1,10,MIN 26,3,0,Chester Taylor middle for -2 yards (tackle by John McCargo and Chris Kelsay),0.670,-0.140
1,6:16,2,12,MIN 24,3,0,Brad Johnson pass incomplete short middle intended for Jim Kleinsasser,-0.140,-0.820
1,6:12,3,12,MIN 24,3,0,Brad Johnson pass complete short right to Jermaine Wiggins for 8 yards (tackle by Terrence McGee and Angelo Crowell),-0.820,-1.240
1,5:37,4,4,MIN 32,3,0,"Chris Kluwe punts 37 yards, returned by Jim Leonhard for 1 yard (tackle by Jason Glenn). Penalty on Mario Haggan: Offensive Holding, 10 yards",-1.240,-0.340
1,5:29,1,10,BUF 21,3,0,Willis McGahee left guard for 1 yard (tackle by Kenechi Udeze and Kevin Williams),0.340,-0.070
1,4:52,2,9,BUF 22,3,0,J.P. Losman pass complete short right to Peerless Price for 17 yards (tackle by Antoine Winfield),-0.070,1.530
1,4:18,1,10,BUF 39,3,0,Willis McGahee middle for 2 yards (tackle by Kevin Williams and E.J. Henderson),1.530,1.260
1,3:39,2,8,BUF 41,3,0,J.P. Losman pass complete short left to Lee Evans for 9 yards (tackle by Fred Smoot),1.260,2.260
1,3:00,1,10,BUF 50,3,0,"Willis McGahee right guard for 2 yards (tackle by Dontarrious Thomas and Kevin Williams). Penalty on Kenechi Udeze: Defensive Offside, 5 yards (no play)",2.260,2.990
1,2:29,1,5,MIN 45,3,0,J.P. Losman pass complete short right to Peerless Price for 4 yards (tackle by Darrion Scott and Darren Sharper),2.990,2.930
1,1:41,2,1,MIN 41,3,0,Willis McGahee left tackle for 5 yards (tackle by Napoleon Harris),2.930,3.180
1,1:06,1,10,MIN 36,3,0,J.P. Losman pass complete short left to Lee Evans for 14 yards (tackle by Darren Sharper),3.180,4.110
1,0:25,1,10,MIN 22,3,0,Willis McGahee right tackle for 4 yards (tackle by Darrion Scott and Spencer Johnson),4.110,4.130
Quarter,Time,Down,ToGo,Location,MIN,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,MIN 18,3,0,J.P. Losman pass complete short right to Robert Royal for 13 yards (tackle by Darren Sharper),4.130,6.060
2,14:17,1,5,MIN 5,3,0,Willis McGahee middle for 2 yards (tackle by Kevin Williams and E.J. Henderson),6.060,5.530
2,13:37,2,3,MIN 3,3,0,J.P. Losman pass incomplete intended for Roscoe Parrish (defended by Kevin Williams),5.530,4.720
2,13:34,3,3,MIN 3,3,0,"Willis McGahee right guard for 2 yards (tackle by Pat Williams and Napoleon Harris). Penalty on Kevin Williams: Defensive Offside, 2 yards (no play)",4.720,5.170
