Unnamed: 0,MIN,BUF
First Downs,14,20
Rush-Yds-TDs,16-63-0,33-95-1
Cmp-Att-Yd-TD-INT,25-44-267-1-2,23-32-224-1-0
Sacked-Yards,0-0,3-21
Net Pass Yards,267,203
Total Yards,330,298
Fumbles-Lost,2-0,1-0
Turnovers,2,0
Penalties-Yards,12-78,15-104
Third Down Conv.,2-13,5-14
Fourth Down Conv.,2-2,0-0
Time of Possession,24:03,35:57
