Unnamed: 0,CIN,MIN
First Downs,13,21
Rush-Yds-TDs,24-119-0,37-142-2
Cmp-Att-Yd-TD-INT,16-28-103-1-0,17-30-192-1-1
Sacked-Yards,1-12,2-12
Net Pass Yards,91,180
Total Yards,210,322
Fumbles-Lost,2-1,1-0
Turnovers,1,1
Penalties-Yards,11-85,9-69
Third Down Conv.,6-14,8-14
Fourth Down Conv.,0-0,0-0
Time of Possession,27:45,32:15
