Quarter,Time,Tm,Detail,CIN,MIN
2.0,14:28,Vikings,Ryan Longwell 41 yard field goal,0,3
,8:45,Vikings,Sidney Rice 9 yard pass from Brett Favre (Ryan Longwell kick),0,10
,3:56,Bengals,Chad Johnson 15 yard pass from Carson Palmer (Shayne Graham kick),7,10
,0:35,Vikings,Ryan Longwell 23 yard field goal,7,13
,0:00,Vikings,Ryan Longwell 44 yard field goal,7,16
3.0,8:40,Vikings,Adrian Peterson 1 yard rush (Ryan Longwell kick),7,23
4.0,12:43,Bengals,Shayne Graham 22 yard field goal,10,23
,3:24,Vikings,Adrian Peterson 3 yard rush (Ryan Longwell kick),10,30
