Quarter,Time,Down,ToGo,Location,CIN,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,MIN 30,0,0,"Ryan Longwell kicks off 59 yards, returned by Quan Cosby for 14 yards (tackle by Jamarca Sanford). Penalty on Frostee Rucker: Offensive Holding, 10 yards",0.000,-0.220
1,14:56,1,10,CIN 15,0,0,"Penalty on Andrew Whitworth: False Start, 5 yards (no play)",-0.220,-0.570
1,14:56,1,15,CIN 10,0,0,Carson Palmer pass incomplete short left intended for Daniel Coats,-0.570,-1.150
1,14:51,2,15,CIN 10,0,0,Cedric Benson left tackle for 2 yards (tackle by Pat Williams),-1.150,-1.770
1,14:07,3,13,CIN 12,0,0,Carson Palmer pass complete short left to Brian Leonard for 13 yards (tackle by Cedric Griffin),-1.770,0.610
1,13:40,1,10,CIN 25,0,0,Cedric Benson middle for 12 yards (tackle by Jamarca Sanford and Madieu Williams),0.610,1.400
1,13:04,1,10,CIN 37,0,0,Carson Palmer pass incomplete short left intended for Chad Johnson (defended by Madieu Williams),1.400,0.860
1,13:00,2,10,CIN 37,0,0,Carson Palmer pass complete short left to Chad Johnson for no gain. Penalty on Laveranues Coles: Offensive Pass Interfere (Declined),0.860,0.170
1,12:31,3,10,CIN 37,0,0,"Penalty on Bobbie Williams: False Start, 5 yards (no play)",0.170,-0.490
1,12:11,3,15,CIN 32,0,0,Carson Palmer sacked by Brian Robison for -12 yards,-0.490,-2.030
1,11:45,4,27,CIN 20,0,0,"Kevin Huber punts 41 yards, returned by Darius Reynaud for 1 yard (tackle by Nedu Ndukwe). Penalty on Greg Lewis: Offensive Holding, 10 yards",-2.030,-0.940
1,11:34,1,10,MIN 30,0,0,Adrian Peterson middle for 4 yards (tackle by Tank Johnson),0.940,0.930
1,11:08,2,6,MIN 34,0,0,Brett Favre pass incomplete short right intended for Adrian Peterson,0.930,0.230
1,11:04,3,6,MIN 34,0,0,Brett Favre pass incomplete deep left intended for Sidney Rice,0.230,-1.110
1,10:58,4,6,MIN 34,0,0,"Chris Kluwe punts 36 yards, fair catch by Quan Cosby",-1.110,-0.940
1,10:51,1,10,CIN 30,0,0,Cedric Benson right tackle for no gain (tackle by Ray Edwards and Pat Williams),0.940,0.390
1,10:11,2,10,CIN 30,0,0,Cedric Benson middle for 1 yard (tackle by Jasper Brinkley),0.390,-0.160
1,9:29,3,9,CIN 31,0,0,"Penalty on Chad Johnson: False Start, 5 yards (no play)",-0.160,-0.820
1,9:07,3,14,CIN 26,0,0,Carson Palmer pass complete short right to Brian Leonard for no gain,-0.820,-1.630
1,8:31,4,14,CIN 26,0,0,Kevin Huber punts 41 yards,-1.630,-1.140
1,8:24,1,10,MIN 33,0,0,Adrian Peterson left tackle for 3 yards (tackle by Tank Johnson),1.140,1.000
1,7:46,2,7,MIN 36,0,0,Chester Taylor middle for 2 yards (tackle by Dhani Jones and Keith Rivers),1.000,0.560
1,7:07,3,5,MIN 38,0,0,"Brett Favre pass incomplete short middle intended for Sidney Rice. Penalty on Johnathan Joseph: Illegal Contact, 5 yards (no play)",0.560,1.800
1,7:03,1,10,MIN 43,0,0,"Brett Favre pass incomplete short right intended for Visanthe Shiancoe. Penalty on Johnathan Joseph: Unnecessary Roughness (Offsetting), Penalty on Visanthe Shiancoe: Unnecessary Roughness (Offsetting)",1.800,1.250
1,6:54,2,10,MIN 43,0,0,Brett Favre pass complete short right to Sidney Rice for 16 yards (tackle by Chris Crocker),1.250,2.850
1,6:28,1,10,CIN 41,0,0,Adrian Peterson middle for 3 yards (tackle by Nedu Ndukwe),2.850,2.710
1,5:52,2,7,CIN 38,0,0,Adrian Peterson left tackle for -3 yards (tackle by Nedu Ndukwe),2.710,1.620
1,5:12,3,10,CIN 41,0,0,"Penalty on Dhani Jones: Encroachment, 5 yards (no play)",1.620,2.280
1,4:51,3,5,CIN 36,0,0,Brett Favre pass incomplete short right intended for Bernard Berrian is intercepted by Leon Hall at CIN-30 and returned for 1 yard,2.280,-1.000
1,4:46,1,10,CIN 31,0,0,Carson Palmer pass incomplete short right intended for Andre Caldwell,1.000,0.460
1,4:41,2,10,CIN 31,0,0,Larry Johnson right tackle for no gain (tackle by Pat Williams),0.460,-0.230
1,4:02,3,10,CIN 31,0,0,Carson Palmer pass incomplete short right intended for Quan Cosby,-0.230,-1.310
1,3:57,4,10,CIN 31,0,0,Kevin Huber punts 31 yards,-1.310,-1.470
1,3:50,1,10,MIN 38,0,0,Adrian Peterson middle for 6 yards (tackle by Keith Rivers),1.470,1.730
1,3:19,2,4,MIN 44,0,0,Adrian Peterson left guard for 3 yards (tackle by Pat Sims and Dhani Jones),1.730,1.420
1,2:43,3,1,MIN 47,0,0,Adrian Peterson middle for 15 yards (tackle by Nedu Ndukwe),1.420,3.050
1,2:15,1,10,CIN 38,0,0,Adrian Peterson left tackle for -1 yards (tackle by Rey Maualuga),3.050,2.370
1,1:35,2,11,CIN 39,0,0,Brett Favre pass complete short right to Greg Lewis for 18 yards (tackle by Chris Crocker),2.370,4.170
1,0:53,1,10,CIN 21,0,0,"Penalty on Brett Favre: Illegal Forward Pass, 5 yards",4.170,3.490
1,0:42,2,11,CIN 22,0,0,Brett Favre pass complete short middle to Adrian Peterson for 4 yards (tackle by Rey Maualuga),3.490,3.310
Quarter,Time,Down,ToGo,Location,CIN,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,CIN 18,0,0,Brett Favre sacked by Jonathan Fanene for -5 yards,3.310,1.930
2,14:32,4,12,CIN 23,0,3,Ryan Longwell 41 yard field goal good,1.930,3.000
2,,,,MIN 30,0,3,"Ryan Longwell kicks off 67 yards, returned by Quan Cosby for 19 yards (tackle by Erin Henderson)",0.000,0.410
2,14:23,1,10,CIN 22,0,3,Larry Johnson left guard for 3 yards (tackle by Jimmy Kennedy),0.410,0.270
2,13:40,2,7,CIN 25,0,3,Carson Palmer pass complete short right to Larry Johnson for 6 yards (tackle by Antoine Winfield),0.270,0.370
2,13:07,3,1,CIN 31,0,3,Carson Palmer pass complete short left to Andre Caldwell for 6 yards (tackle by Jamarca Sanford),0.370,1.400
2,12:30,1,10,CIN 37,0,3,Larry Johnson right end for 1 yard (tackle by Jasper Brinkley),1.400,0.990
2,11:53,2,9,CIN 38,0,3,Carson Palmer pass incomplete deep middle intended for Chad Johnson,0.990,0.300
2,11:49,3,9,CIN 38,0,3,Carson Palmer pass incomplete short middle intended for Chad Johnson,0.300,-0.850
