Unnamed: 0,OAK,TEN
First Downs,13,20
Rush-Yds-TDs,10-34-0,28-76-0
Cmp-Att-Yd-TD-INT,24-39-264-2-0,25-38-269-2-1
Sacked-Yards,4-18,1-11
Net Pass Yards,246,258
Total Yards,280,334
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,17-173,11-111
Third Down Conv.,1-12,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,25:03,34:57
