Unnamed: 0,KAN,HOU
First Downs,25,23
Rush-Yds-TDs,38-228-1,22-132-3
Cmp-Att-Yd-TD-INT,20-29-201-3-0,25-33-305-2-0
Sacked-Yards,1-12,2-16
Net Pass Yards,189,289
Total Yards,417,421
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,5-35,5-53
Third Down Conv.,9-16,5-10
Fourth Down Conv.,1-1,1-1
Time of Possession,33:28,26:32
